Main;Set;Type;SampleSize;OutlierExclusion;Correlation;IndependentVariables;DV;mean;FPR;Pr
With restrictions for interactions;;x1=Binary, Cov=Binary;300;FALSE;0.2;1;1;0.12975;0.0468083333333333;0.12975
No restrictions for interactions;;x1=Normal, Cov=Normal;100;FALSE;0.2;1;1;0.1235;0.0526250000000002;0.1235
No restrictions for interactions;;x1=Normal, Cov=Normal;100;FALSE;0.2;1;1;0.1531;0.0519866666666672;0.1531
No restrictions for interactions;;x1=Binary, Cov=Binary;100;FALSE;0.2;1;1;0.4286;0.155341666666672;0.4286
No restrictions for interactions;;x1=Binary, Cov=Binary;100;FALSE;0.2;1;1;0.49235;0.134693333333341;0.49235
No restrictions for interactions;;x1=Normal, Cov=Normal;150;FALSE;0.2;1;1;0.12515;0.0518000000000002;0.12515
No restrictions for interactions;;x1=Normal, Cov=Normal;150;FALSE;0.2;1;1;0.1497;0.0521866666666673;0.1497
No restrictions for interactions;;x1=Binary, Cov=Binary;150;FALSE;0.2;1;1;0.5837;0.218108333333343;0.5837
No restrictions for interactions;;x1=Binary, Cov=Binary;150;FALSE;0.2;1;1;0.63275;0.184403333333355;0.63275
No restrictions for interactions;;x1=Normal, Cov=Normal;250;FALSE;0.2;1;1;0.1242;0.0534833333333335;0.1242
No restrictions for interactions;;x1=Normal, Cov=Normal;250;FALSE;0.2;1;1;0.1517;0.0535566666666672;0.1517
No restrictions for interactions;;x1=Binary, Cov=Binary;250;FALSE;0.2;1;1;0.7947;0.322366666666641;0.7947
No restrictions for interactions;;x1=Binary, Cov=Binary;250;FALSE;0.2;1;1;0.83405;0.280636666666642;0.83405
No restrictions for interactions;;x1=Normal, Cov=Normal;300;FALSE;0.2;1;1;0.12775;0.0555;0.12775
No restrictions for interactions;;x1=Normal, Cov=Normal;300;FALSE;0.2;1;1;0.1473;0.0521000000000006;0.1473
No restrictions for interactions;;x1=Binary, Cov=Binary;300;FALSE;0.2;1;1;0.86025;0.363208333333298;0.86025
No restrictions for interactions;;x1=Binary, Cov=Binary;300;FALSE;0.2;1;1;0.89075;0.318849999999947;0.89075
No restrictions for interactions;;x1=Normal, Cov=Normal;100;FALSE;0.2;1;1;0.0723;0.05155;0.0723
No restrictions for interactions;;x1=Normal, Cov=Normal;100;FALSE;0.2;1;1;0.07475;0.0499571428571429;0.07475
No restrictions for interactions;;x1=Binary, Cov=Binary;100;FALSE;0.2;1;1;0.06885;0.0486;0.06885
No restrictions for interactions;;x1=Binary, Cov=Binary;100;FALSE;0.2;1;1;0.0742;0.0514357142857143;0.0742
No restrictions for interactions;;x1=Normal, Cov=Normal;150;FALSE;0.2;1;1;0.06975;0.049;0.06975
No restrictions for interactions;;x1=Normal, Cov=Normal;150;FALSE;0.2;1;1;0.07225;0.0492642857142857;0.07225
No restrictions for interactions;;x1=Binary, Cov=Binary;150;FALSE;0.2;1;1;0.0729;0.0517125;0.0729
No restrictions for interactions;;x1=Binary, Cov=Binary;150;FALSE;0.2;1;1;0.07385;0.0527071428571429;0.07385
No restrictions for interactions;;x1=Normal, Cov=Normal;250;FALSE;0.2;1;1;0.07515;0.0530875;0.07515
No restrictions for interactions;;x1=Normal, Cov=Normal;250;FALSE;0.2;1;1;0.07245;0.0501357142857144;0.07245
No restrictions for interactions;;x1=Binary, Cov=Binary;250;FALSE;0.2;1;1;0.0718;0.05155;0.0718
No restrictions for interactions;;x1=Binary, Cov=Binary;250;FALSE;0.2;1;1;0.07045;0.0499928571428572;0.07045
No restrictions for interactions;;x1=Normal, Cov=Normal;300;FALSE;0.2;1;1;0.07245;0.0512125;0.07245
No restrictions for interactions;;x1=Normal, Cov=Normal;300;FALSE;0.2;1;1;0.0727;0.0502642857142858;0.0727
No restrictions for interactions;;x1=Binary, Cov=Binary;300;FALSE;0.2;1;1;0.07145;0.05125;0.07145
No restrictions for interactions;;x1=Binary, Cov=Binary;300;FALSE;0.2;1;1;0.07165;0.0511785714285714;0.07165
No restrictions for interactions;;x1=Normal, Cov=Normal;100;FALSE;0.2;1;1;0.06555;0.0479500000000001;0.06555
No restrictions for interactions;;x1=Normal, Cov=Normal;100;FALSE;0.2;1;1;0.1439;0.0494333333333334;0.1439
No restrictions for interactions;;x1=Normal, Cov=Normal;100;FALSE;0.2;1;1;0.12605;0.0533583333333335;0.12605
No restrictions for interactions;;x1=Binary, Cov=Binary;100;FALSE;0.2;1;1;0.06535;0.0483833333333334;0.06535
No restrictions for interactions;;x1=Binary, Cov=Binary;100;FALSE;0.2;1;1;0.25215;0.0621291666666667;0.25215
No restrictions for interactions;;x1=Binary, Cov=Binary;100;FALSE;0.2;1;1;0.17905;0.0643500000000001;0.17905
No restrictions for interactions;;x1=Normal, Cov=Normal;150;FALSE;0.2;1;1;0.06775;0.0505166666666667;0.06775
No restrictions for interactions;;x1=Normal, Cov=Normal;150;FALSE;0.2;1;1;0.14475;0.0505666666666667;0.14475
No restrictions for interactions;;x1=Normal, Cov=Normal;150;FALSE;0.2;1;1;0.12205;0.0517666666666669;0.12205
No restrictions for interactions;;x1=Binary, Cov=Binary;150;FALSE;0.2;1;1;0.0668;0.0514666666666667;0.0668
No restrictions for interactions;;x1=Binary, Cov=Binary;150;FALSE;0.2;1;1;0.3116;0.0726041666666667;0.3116
No restrictions for interactions;;x1=Binary, Cov=Binary;150;FALSE;0.2;1;1;0.20305;0.0730333333333332;0.20305
No restrictions for interactions;;x1=Normal, Cov=Normal;250;FALSE;0.2;1;1;0.0669;0.0499666666666667;0.0669
No restrictions for interactions;;x1=Normal, Cov=Normal;250;FALSE;0.2;1;1;0.14525;0.0518833333333335;0.14525
No restrictions for interactions;;x1=Normal, Cov=Normal;250;FALSE;0.2;1;1;0.1231;0.0522500000000003;0.1231
No restrictions for interactions;;x1=Binary, Cov=Binary;250;FALSE;0.2;1;1;0.06465;0.0481000000000001;0.06465
No restrictions for interactions;;x1=Binary, Cov=Binary;250;FALSE;0.2;1;1;0.4067;0.094495833333335;0.4067
No restrictions for interactions;;x1=Binary, Cov=Binary;250;FALSE;0.2;1;1;0.26015;0.0915583333333316;0.26015
No restrictions for interactions;;x1=Normal, Cov=Normal;300;FALSE;0.2;1;1;0.06515;0.0477166666666667;0.06515
No restrictions for interactions;;x1=Normal, Cov=Normal;300;FALSE;0.2;1;1;0.1444;0.0508750000000002;0.1444
No restrictions for interactions;;x1=Normal, Cov=Normal;300;FALSE;0.2;1;1;0.1241;0.0536333333333337;0.1241
No restrictions for interactions;;x1=Binary, Cov=Binary;300;FALSE;0.2;1;1;0.0682;0.0518500000000001;0.0682
No restrictions for interactions;;x1=Binary, Cov=Binary;300;FALSE;0.2;1;1;0.46025;0.107404166666668;0.46025
No restrictions for interactions;;x1=Binary, Cov=Binary;300;FALSE;0.2;1;1;0.2882;0.101433333333331;0.2882
