Main;Set;Type;SampleSize;OutlierExclusion;Correlation;IndependentVariables;DV;mean;FPR;FPP
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;200;TRUE;0.2;1;1;0.321;0.08105;0.321
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;200;TRUE;0.2;2;1;0.463;0.0890714285714286;0.463
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;200;TRUE;0.2;1;1;0.364;0.0708;0.364
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;200;TRUE;0.2;2;1;0.535;0.0877642857142857;0.535
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;250;TRUE;0.2;1;1;0.3385;0.0789666666666667;0.3385
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;250;TRUE;0.2;2;1;0.483;0.0910071428571429;0.483
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;250;TRUE;0.2;1;1;0.329;0.07785;0.329
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;250;TRUE;0.2;2;1;0.4445;0.0815571428571429;0.4445
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;250;TRUE;0.2;1;1;0.3175;0.07765;0.3175
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;250;TRUE;0.2;2;1;0.4595;0.0849142857142857;0.4595
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;250;TRUE;0.2;1;1;0.3685;0.07525;0.3685
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;250;TRUE;0.2;2;1;0.502;0.0797;0.502
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;300;TRUE;0.2;1;1;0.358;0.0807;0.358
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;300;TRUE;0.2;2;1;0.505;0.0891428571428571;0.505
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;300;TRUE;0.2;1;1;0.3235;0.0781833333333333;0.3235
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;300;TRUE;0.2;2;1;0.438;0.0803714285714286;0.438
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;300;TRUE;0.2;1;1;0.3125;0.0825666666666667;0.3125
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;300;TRUE;0.2;2;1;0.4655;0.0883642857142857;0.4655
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;300;TRUE;0.2;1;1;0.3525;0.0747;0.3525
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;300;TRUE;0.2;2;1;0.5065;0.0813571428571429;0.5065
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;150;TRUE;0.3;1;1;0.3725;0.075;0.3725
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;150;TRUE;0.3;2;1;0.549;0.0869571428571429;0.549
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;150;TRUE;0.3;1;1;0.3255;0.0713;0.3255
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;150;TRUE;0.3;2;1;0.487;0.0764071428571429;0.487
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;150;TRUE;0.3;1;1;0.3315;0.0777666666666667;0.3315
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;150;TRUE;0.3;2;1;0.523;0.0881928571428571;0.523
