"","Main","Set","Type","IndependentVariables","mean"
"75",2,"CCI","h1=Normal, Co=Normal",2,0.0533928571428571
"76",2,"Ma + CCI","h1=Normal, Co=Normal",2,0.0526269841269841
"77",2,"CCI","h1=Binary, Co=Binary",1,0.045125
"78",2,"Ma + CCI","h1=Binary, Co=Binary",1,0.0515
"79",2,"CCI","h1=Binary, Co=Binary",2,0.0446071428571429
"80",2,"Ma + CCI","h1=Binary, Co=Binary",2,0.0509047619047619
"81",2,"CCI","h1=Normal, Co=Binary",1,0.053875
"82",2,"Ma + CCI","h1=Normal, Co=Binary",1,0.0571428571428571
"83",2,"CCI","h1=Normal, Co=Binary",2,0.0452857142857143
"84",2,"Ma + CCI","h1=Normal, Co=Binary",2,0.0452142857142857
"85",2,"CCI","h1=Binary, Co=Normal",1,0.059125
"86",2,"Ma + CCI","h1=Binary, Co=Normal",1,0.0573571428571429
"87",2,"CCI","h1=Binary, Co=Normal",2,0.0466428571428571
"88",2,"Ma + CCI","h1=Binary, Co=Normal",2,0.0541428571428571
"89",2,"CCI","h1=Binary, Co=Binary Effect",1,0.044875
"90",2,"Ma + CCI","h1=Binary, Co=Binary Effect",1,0.049
"91",2,"CCI","h1=Binary, Co=Binary Effect",2,0.0419285714285714
"92",2,"Ma + CCI","h1=Binary, Co=Binary Effect",2,0.0483888888888889
"93",2,"CCI","h1=Normal, Co=Binary Effect",1,0.050125
"94",2,"Ma + CCI","h1=Normal, Co=Binary Effect",1,0.0439285714285714
"95",2,"CCI","h1=Normal, Co=Binary Effect",2,0.0427142857142857
"96",2,"Ma + CCI","h1=Normal, Co=Binary Effect",2,0.0476190476190476
"97",2,"Ma","h1=Normal, Co=Normal",1,0.0473333333333333
"98",2,"Ma + HCI + CCI","h1=Normal, Co=Normal",1,0.098125
"99",2,"HCI + CCI","h1=Normal, Co=Normal",1,0.0834166666666667
"100",2,"Ma","h1=Normal, Co=Normal",2,0.0555714285714286
"101",2,"Ma + HCI + CCI","h1=Normal, Co=Normal",2,0.1349
"102",2,"HCI + CCI","h1=Normal, Co=Normal",2,0.134321428571429
"103",2,"Ma","h1=Binary, Co=Binary",1,0.05
"104",2,"Ma + HCI + CCI","h1=Binary, Co=Binary",1,0.145583333333333
"105",2,"HCI + CCI","h1=Binary, Co=Binary",1,0.13375
"106",2,"Ma","h1=Binary, Co=Binary",2,0.0452857142857143
"107",2,"Ma + HCI + CCI","h1=Binary, Co=Binary",2,0.226078571428571
"108",2,"HCI + CCI","h1=Binary, Co=Binary",2,0.305339285714286
"109",2,"Ma","h1=Normal, Co=Binary",1,0.0476666666666667
"110",2,"Ma + HCI + CCI","h1=Normal, Co=Binary",1,0.2365
"111",2,"HCI + CCI","h1=Normal, Co=Binary",1,0.330333333333333
"112",2,"Ma","h1=Normal, Co=Binary",2,0.0478571428571429
"113",2,"Ma + HCI + CCI","h1=Normal, Co=Binary",2,0.41554
"114",2,"HCI + CCI","h1=Normal, Co=Binary",2,0.603366071428571
"115",2,"Ma","h1=Binary, Co=Normal",1,0.0585
"116",2,"Ma + HCI + CCI","h1=Binary, Co=Normal",1,0.0804583333333333
"117",2,"HCI + CCI","h1=Binary, Co=Normal",1,0.0793333333333333
"118",2,"Ma","h1=Binary, Co=Normal",2,0.0503571428571429
"119",2,"Ma + HCI + CCI","h1=Binary, Co=Normal",2,0.115164285714286
"120",2,"HCI + CCI","h1=Binary, Co=Normal",2,0.106151785714286
"121",2,"Ma","h1=Binary, Co=Binary Effect",1,0.042
"122",2,"Ma + HCI + CCI","h1=Binary, Co=Binary Effect",1,0.0985833333333333
"123",2,"HCI + CCI","h1=Binary, Co=Binary Effect",1,0.0768333333333333
"124",2,"Ma","h1=Binary, Co=Binary Effect",2,0.0488571428571429
"125",2,"Ma + HCI + CCI","h1=Binary, Co=Binary Effect",2,0.128181428571429
"126",2,"HCI + CCI","h1=Binary, Co=Binary Effect",2,0.1100625
"127",2,"Ma","h1=Normal, Co=Binary Effect",1,0.0586666666666667
"128",2,"Ma + HCI + CCI","h1=Normal, Co=Binary Effect",1,0.09125
"129",2,"HCI + CCI","h1=Normal, Co=Binary Effect",1,0.075
"130",2,"Ma","h1=Normal, Co=Binary Effect",2,0.0467857142857143
"131",2,"Ma + HCI + CCI","h1=Normal, Co=Binary Effect",2,0.125097142857143
"132",2,"HCI + CCI","h1=Normal, Co=Binary Effect",2,0.129901785714286
