Main;Set;Type;SampleSize;OutlierExclusion;Correlation;IndependentVariables;DV;mean;FPR;Pr
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;200;TRUE;0.2;2;1;0.75;0.0464285714285714;0.75
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;250;TRUE;0.2;1;1;0.25;0.0666666666666667;0.25
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;250;TRUE;0.2;2;1;0.25;0.0428571428571429;0.25
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;250;TRUE;0.2;1;1;0.25;0.00833333333333333;0.25
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;250;TRUE;0.2;2;1;0.5;0.0142857142857143;0.5
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;250;TRUE;0.2;1;1;0.25;0.108333333333333;0.25
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;250;TRUE;0.2;2;1;0.5;0.0892857142857143;0.5
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;250;TRUE;0.2;1;1;0.25;0.025;0.25
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;250;TRUE;0.2;2;1;1;0.135714285714286;1
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;300;TRUE;0.2;1;1;0.5;0.1;0.5
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;300;TRUE;0.2;2;1;0.25;0.0285714285714286;0.25
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;300;TRUE;0.2;1;1;0;0;0
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;300;TRUE;0.2;2;1;0.25;0.0428571428571429;0.25
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;300;TRUE;0.2;1;1;0.5;0.05;0.5
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;300;TRUE;0.2;2;1;1;0.264285714285714;1
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;300;TRUE;0.2;1;1;0.25;0.05;0.25
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;300;TRUE;0.2;2;1;0.5;0.0857142857142857;0.5
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;150;TRUE;0.3;1;1;0.25;0.05;0.25
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;150;TRUE;0.3;2;1;0.5;0.075;0.5
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;150;TRUE;0.3;1;1;0.25;0.075;0.25
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;150;TRUE;0.3;2;1;0.5;0.178571428571429;0.5
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;150;TRUE;0.3;1;1;0.5;0.225;0.5
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;150;TRUE;0.3;2;1;0.75;0.0214285714285714;0.75
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;150;TRUE;0.3;1;1;0.25;0.0583333333333333;0.25
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;150;TRUE;0.3;2;1;0.75;0.0571428571428571;0.75
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;200;TRUE;0.3;1;1;0.5;0.0416666666666667;0.5
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;200;TRUE;0.3;2;1;0.25;0.00357142857142857;0.25
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;200;TRUE;0.3;1;1;0.5;0.208333333333333;0.5
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;200;TRUE;0.3;2;1;0.75;0.0892857142857143;0.75
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;200;TRUE;0.3;1;1;0.5;0.05;0.5
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;200;TRUE;0.3;2;1;0;0;0
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;200;TRUE;0.3;1;1;0.5;0.05;0.5
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;200;TRUE;0.3;2;1;0.5;0.0571428571428571;0.5
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;250;TRUE;0.3;1;1;0.5;0.0333333333333333;0.5
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;250;TRUE;0.3;2;1;0.5;0.025;0.5
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;250;TRUE;0.3;1;1;0.75;0.291666666666667;0.75
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;250;TRUE;0.3;2;1;0.5;0.075;0.5
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;250;TRUE;0.3;1;1;0.25;0.05;0.25
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;250;TRUE;0.3;2;1;0.75;0.103571428571429;0.75
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;250;TRUE;0.3;1;1;0.25;0.0166666666666667;0.25
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;250;TRUE;0.3;2;1;0.5;0.0892857142857143;0.5
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;300;TRUE;0.3;1;1;0.25;0.00833333333333333;0.25
Main = TRUE;Ma + HCI;h1=Normal, Co=Normal;300;TRUE;0.3;2;1;0.75;0.1;0.75
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;300;TRUE;0.3;1;1;0;0;0
Main = TRUE;Ma + HCI;h1=Binary, Co=Binary;300;TRUE;0.3;2;1;0.5;0.15;0.5
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;300;TRUE;0.3;1;1;0.5;0.025;0.5
Main = TRUE;Ma + HCI;h1=Normal, Co=Binary;300;TRUE;0.3;2;1;0.75;0.0392857142857143;0.75
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;300;TRUE;0.3;1;1;0.5;0.05;0.5
Main = TRUE;Ma + HCI;h1=Binary, Co=Normal;300;TRUE;0.3;2;1;0.75;0.142857142857143;0.75
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;150;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Normal, Co=Normal;150;TRUE;0.1;2;1;0.25;0.075;0.25
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;150;TRUE;0.1;1;1;0;0;0
Main = TRUE;Ma + CCI;h1=Binary, Co=Binary;150;TRUE;0.1;2;1;0;0;0
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;150;TRUE;0.1;1;1;0.25;0.05;0.25
Main = TRUE;Ma + CCI;h1=Normal, Co=Binary;150;TRUE;0.1;2;1;0;0;0
