"finalresultNorm.SampleSize","finalresultNorm.Pr","finalresultNorm.IndependentVariables","finalresultNorm.Interaction","finalresultNorm.OutlierExclusion","finalresultBin.SampleSize","finalresultBin.Pr","finalresultBin.IndependentVariables","finalresultBin.Interaction","finalresultBin.OutlierExclusion","finalresultNormBin.SampleSize","finalresultNormBin.Pr","finalresultNormBin.IndependentVariables","finalresultNormBin.Interaction","finalresultNormBin.OutlierExclusion","finalresultBinNorm.SampleSize","finalresultBinNorm.Pr","finalresultBinNorm.IndependentVariables","finalresultBinNorm.Interaction","finalresultBinNorm.OutlierExclusion"
400,0.225714285714286,5,"In FALSE","SD TRUE",400,0.178571428571429,5,"In FALSE","SD TRUE",400,0.2,5,"In FALSE","SD TRUE",400,0.2,5,"In FALSE","SD TRUE"
450,0.18,5,"In FALSE","SD TRUE",450,0.178571428571429,5,"In FALSE","SD TRUE",450,0.191428571428571,5,"In FALSE","SD TRUE",450,0.194285714285714,5,"In FALSE","SD TRUE"
500,0.204285714285714,5,"In FALSE","SD TRUE",500,0.185714285714286,5,"In FALSE","SD TRUE",500,0.187142857142857,5,"In FALSE","SD TRUE",500,0.19,5,"In FALSE","SD TRUE"
50,0.178571428571429,4,"In FALSE","SD TRUE",50,0.142857142857143,4,"In FALSE","SD TRUE",50,0.162857142857143,4,"In FALSE","SD TRUE",50,0.201428571428571,4,"In FALSE","SD TRUE"
100,0.161428571428571,4,"In FALSE","SD TRUE",100,0.155714285714286,4,"In FALSE","SD TRUE",100,0.187142857142857,4,"In FALSE","SD TRUE",100,0.172857142857143,4,"In FALSE","SD TRUE"
150,0.19,4,"In FALSE","SD TRUE",150,0.125714285714286,4,"In FALSE","SD TRUE",150,0.158571428571429,4,"In FALSE","SD TRUE",150,0.187142857142857,4,"In FALSE","SD TRUE"
200,0.174285714285714,4,"In FALSE","SD TRUE",200,0.152857142857143,4,"In FALSE","SD TRUE",200,0.171428571428571,4,"In FALSE","SD TRUE",200,0.172857142857143,4,"In FALSE","SD TRUE"
250,0.164285714285714,4,"In FALSE","SD TRUE",250,0.151428571428571,4,"In FALSE","SD TRUE",250,0.18,4,"In FALSE","SD TRUE",250,0.182857142857143,4,"In FALSE","SD TRUE"
300,0.177142857142857,4,"In FALSE","SD TRUE",300,0.154285714285714,4,"In FALSE","SD TRUE",300,0.174285714285714,4,"In FALSE","SD TRUE",300,0.148571428571429,4,"In FALSE","SD TRUE"
350,0.187142857142857,4,"In FALSE","SD TRUE",350,0.128571428571429,4,"In FALSE","SD TRUE",350,0.185714285714286,4,"In FALSE","SD TRUE",350,0.174285714285714,4,"In FALSE","SD TRUE"
400,0.172857142857143,4,"In FALSE","SD TRUE",400,0.152857142857143,4,"In FALSE","SD TRUE",400,0.151428571428571,4,"In FALSE","SD TRUE",400,0.158571428571429,4,"In FALSE","SD TRUE"
450,0.165714285714286,4,"In FALSE","SD TRUE",450,0.144285714285714,4,"In FALSE","SD TRUE",450,0.167142857142857,4,"In FALSE","SD TRUE",450,0.17,4,"In FALSE","SD TRUE"
500,0.155714285714286,4,"In FALSE","SD TRUE",500,0.152857142857143,4,"In FALSE","SD TRUE",500,0.141428571428571,4,"In FALSE","SD TRUE",500,0.182857142857143,4,"In FALSE","SD TRUE"
50,0.158571428571429,3,"In FALSE","SD TRUE",50,0.131428571428571,3,"In FALSE","SD TRUE",50,0.141428571428571,3,"In FALSE","SD TRUE",50,0.14,3,"In FALSE","SD TRUE"
100,0.15,3,"In FALSE","SD TRUE",100,0.128571428571429,3,"In FALSE","SD TRUE",100,0.135714285714286,3,"In FALSE","SD TRUE",100,0.15,3,"In FALSE","SD TRUE"
150,0.155714285714286,3,"In FALSE","SD TRUE",150,0.142857142857143,3,"In FALSE","SD TRUE",150,0.14,3,"In FALSE","SD TRUE",150,0.151428571428571,3,"In FALSE","SD TRUE"
200,0.145714285714286,3,"In FALSE","SD TRUE",200,0.0971428571428571,3,"In FALSE","SD TRUE",200,0.158571428571429,3,"In FALSE","SD TRUE",200,0.174285714285714,3,"In FALSE","SD TRUE"
250,0.167142857142857,3,"In FALSE","SD TRUE",250,0.121428571428571,3,"In FALSE","SD TRUE",250,0.127142857142857,3,"In FALSE","SD TRUE",250,0.155714285714286,3,"In FALSE","SD TRUE"
300,0.144285714285714,3,"In FALSE","SD TRUE",300,0.141428571428571,3,"In FALSE","SD TRUE",300,0.14,3,"In FALSE","SD TRUE",300,0.162857142857143,3,"In FALSE","SD TRUE"
350,0.155714285714286,3,"In FALSE","SD TRUE",350,0.118571428571429,3,"In FALSE","SD TRUE",350,0.13,3,"In FALSE","SD TRUE",350,0.155714285714286,3,"In FALSE","SD TRUE"
400,0.145714285714286,3,"In FALSE","SD TRUE",400,0.114285714285714,3,"In FALSE","SD TRUE",400,0.138571428571429,3,"In FALSE","SD TRUE",400,0.15,3,"In FALSE","SD TRUE"
450,0.161428571428571,3,"In FALSE","SD TRUE",450,0.137142857142857,3,"In FALSE","SD TRUE",450,0.125714285714286,3,"In FALSE","SD TRUE",450,0.134285714285714,3,"In FALSE","SD TRUE"
500,0.155714285714286,3,"In FALSE","SD TRUE",500,0.124285714285714,3,"In FALSE","SD TRUE",500,0.147142857142857,3,"In FALSE","SD TRUE",500,0.165714285714286,3,"In FALSE","SD TRUE"
50,0.141428571428571,2,"In FALSE","SD TRUE",50,0.0942857142857143,2,"In FALSE","SD TRUE",50,0.108571428571429,2,"In FALSE","SD TRUE",50,0.137142857142857,2,"In FALSE","SD TRUE"
100,0.122857142857143,2,"In FALSE","SD TRUE",100,0.14,2,"In FALSE","SD TRUE",100,0.122857142857143,2,"In FALSE","SD TRUE",100,0.127142857142857,2,"In FALSE","SD TRUE"
150,0.102857142857143,2,"In FALSE","SD TRUE",150,0.135714285714286,2,"In FALSE","SD TRUE",150,0.101428571428571,2,"In FALSE","SD TRUE",150,0.138571428571429,2,"In FALSE","SD TRUE"
200,0.124285714285714,2,"In FALSE","SD TRUE",200,0.111428571428571,2,"In FALSE","SD TRUE",200,0.12,2,"In FALSE","SD TRUE",200,0.14,2,"In FALSE","SD TRUE"
250,0.108571428571429,2,"In FALSE","SD TRUE",250,0.127142857142857,2,"In FALSE","SD TRUE",250,0.104285714285714,2,"In FALSE","SD TRUE",250,0.138571428571429,2,"In FALSE","SD TRUE"
300,0.111428571428571,2,"In FALSE","SD TRUE",300,0.0928571428571429,2,"In FALSE","SD TRUE",300,0.131428571428571,2,"In FALSE","SD TRUE",300,0.118571428571429,2,"In FALSE","SD TRUE"
350,0.137142857142857,2,"In FALSE","SD TRUE",350,0.115714285714286,2,"In FALSE","SD TRUE",350,0.121428571428571,2,"In FALSE","SD TRUE",350,0.131428571428571,2,"In FALSE","SD TRUE"
400,0.112857142857143,2,"In FALSE","SD TRUE",400,0.115714285714286,2,"In FALSE","SD TRUE",400,0.102857142857143,2,"In FALSE","SD TRUE",400,0.112857142857143,2,"In FALSE","SD TRUE"
450,0.12,2,"In FALSE","SD TRUE",450,0.118571428571429,2,"In FALSE","SD TRUE",450,0.112857142857143,2,"In FALSE","SD TRUE",450,0.16,2,"In FALSE","SD TRUE"
500,0.104285714285714,2,"In FALSE","SD TRUE",500,0.122857142857143,2,"In FALSE","SD TRUE",500,0.11,2,"In FALSE","SD TRUE",500,0.105714285714286,2,"In FALSE","SD TRUE"
50,0.0914285714285714,1,"In FALSE","SD TRUE",50,0.0814285714285714,1,"In FALSE","SD TRUE",50,0.0842857142857143,1,"In FALSE","SD TRUE",50,0.0871428571428571,1,"In FALSE","SD TRUE"
100,0.0857142857142857,1,"In FALSE","SD TRUE",100,0.0942857142857143,1,"In FALSE","SD TRUE",100,0.0957142857142857,1,"In FALSE","SD TRUE",100,0.0971428571428571,1,"In FALSE","SD TRUE"
150,0.0857142857142857,1,"In FALSE","SD TRUE",150,0.08,1,"In FALSE","SD TRUE",150,0.0771428571428571,1,"In FALSE","SD TRUE",150,0.0857142857142857,1,"In FALSE","SD TRUE"
200,0.0842857142857143,1,"In FALSE","SD TRUE",200,0.0728571428571429,1,"In FALSE","SD TRUE",200,0.0914285714285714,1,"In FALSE","SD TRUE",200,0.11,1,"In FALSE","SD TRUE"
250,0.112857142857143,1,"In FALSE","SD TRUE",250,0.0928571428571429,1,"In FALSE","SD TRUE",250,0.0714285714285714,1,"In FALSE","SD TRUE",250,0.118571428571429,1,"In FALSE","SD TRUE"
300,0.0971428571428571,1,"In FALSE","SD TRUE",300,0.08,1,"In FALSE","SD TRUE",300,0.0628571428571429,1,"In FALSE","SD TRUE",300,0.104285714285714,1,"In FALSE","SD TRUE"
350,0.0871428571428571,1,"In FALSE","SD TRUE",350,0.0857142857142857,1,"In FALSE","SD TRUE",350,0.0771428571428571,1,"In FALSE","SD TRUE",350,0.102857142857143,1,"In FALSE","SD TRUE"
400,0.0828571428571429,1,"In FALSE","SD TRUE",400,0.0828571428571429,1,"In FALSE","SD TRUE",400,0.0757142857142857,1,"In FALSE","SD TRUE",400,0.111428571428571,1,"In FALSE","SD TRUE"
450,0.101428571428571,1,"In FALSE","SD TRUE",450,0.0914285714285714,1,"In FALSE","SD TRUE",450,0.07,1,"In FALSE","SD TRUE",450,0.11,1,"In FALSE","SD TRUE"
500,0.0985714285714286,1,"In FALSE","SD TRUE",500,0.0985714285714286,1,"In FALSE","SD TRUE",500,0.0814285714285714,1,"In FALSE","SD TRUE",500,0.115714285714286,1,"In FALSE","SD TRUE"
50,0.955714285714286,7,"In TRUE","SD TRUE",50,0.967142857142857,7,"In TRUE","SD TRUE",50,0.988571428571429,7,"In TRUE","SD TRUE",50,0.921428571428571,7,"In TRUE","SD TRUE"
100,0.95,7,"In TRUE","SD TRUE",100,0.991428571428571,7,"In TRUE","SD TRUE",100,0.998571428571429,7,"In TRUE","SD TRUE",100,0.898571428571429,7,"In TRUE","SD TRUE"
150,0.932857142857143,7,"In TRUE","SD TRUE",150,0.994285714285714,7,"In TRUE","SD TRUE",150,1,7,"In TRUE","SD TRUE",150,0.921428571428571,7,"In TRUE","SD TRUE"
200,0.947142857142857,7,"In TRUE","SD TRUE",200,1,7,"In TRUE","SD TRUE",200,1,7,"In TRUE","SD TRUE",200,0.907142857142857,7,"In TRUE","SD TRUE"
250,0.952857142857143,7,"In TRUE","SD TRUE",250,1,7,"In TRUE","SD TRUE",250,1,7,"In TRUE","SD TRUE",250,0.931428571428571,7,"In TRUE","SD TRUE"
300,0.958571428571429,7,"In TRUE","SD TRUE",300,1,7,"In TRUE","SD TRUE",300,1,7,"In TRUE","SD TRUE",300,0.935714285714286,7,"In TRUE","SD TRUE"
350,0.928571428571429,7,"In TRUE","SD TRUE",350,1,7,"In TRUE","SD TRUE",350,1,7,"In TRUE","SD TRUE",350,0.931428571428571,7,"In TRUE","SD TRUE"
400,0.948571428571429,7,"In TRUE","SD TRUE",400,1,7,"In TRUE","SD TRUE",400,1,7,"In TRUE","SD TRUE",400,0.924285714285714,7,"In TRUE","SD TRUE"
450,0.96,7,"In TRUE","SD TRUE",450,1,7,"In TRUE","SD TRUE",450,1,7,"In TRUE","SD TRUE",450,0.942857142857143,7,"In TRUE","SD TRUE"
500,0.944285714285714,7,"In TRUE","SD TRUE",500,1,7,"In TRUE","SD TRUE",500,1,7,"In TRUE","SD TRUE",500,0.957142857142857,7,"In TRUE","SD TRUE"
50,0.882857142857143,6,"In TRUE","SD TRUE",50,0.92,6,"In TRUE","SD TRUE",50,0.984285714285714,6,"In TRUE","SD TRUE",50,0.854285714285714,6,"In TRUE","SD TRUE"
100,0.895714285714286,6,"In TRUE","SD TRUE",100,0.967142857142857,6,"In TRUE","SD TRUE",100,0.995714285714286,6,"In TRUE","SD TRUE",100,0.847142857142857,6,"In TRUE","SD TRUE"
150,0.891428571428571,6,"In TRUE","SD TRUE",150,0.991428571428571,6,"In TRUE","SD TRUE",150,1,6,"In TRUE","SD TRUE",150,0.851428571428571,6,"In TRUE","SD TRUE"
200,0.89,6,"In TRUE","SD TRUE",200,0.998571428571429,6,"In TRUE","SD TRUE",200,1,6,"In TRUE","SD TRUE",200,0.874285714285714,6,"In TRUE","SD TRUE"
250,0.907142857142857,6,"In TRUE","SD TRUE",250,0.998571428571429,6,"In TRUE","SD TRUE",250,1,6,"In TRUE","SD TRUE",250,0.861428571428571,6,"In TRUE","SD TRUE"
300,0.874285714285714,6,"In TRUE","SD TRUE",300,0.998571428571429,6,"In TRUE","SD TRUE",300,1,6,"In TRUE","SD TRUE",300,0.884285714285714,6,"In TRUE","SD TRUE"
350,0.894285714285714,6,"In TRUE","SD TRUE",350,1,6,"In TRUE","SD TRUE",350,1,6,"In TRUE","SD TRUE",350,0.871428571428571,6,"In TRUE","SD TRUE"
400,0.905714285714286,6,"In TRUE","SD TRUE",400,1,6,"In TRUE","SD TRUE",400,1,6,"In TRUE","SD TRUE",400,0.861428571428571,6,"In TRUE","SD TRUE"
450,0.915714285714286,6,"In TRUE","SD TRUE",450,1,6,"In TRUE","SD TRUE",450,1,6,"In TRUE","SD TRUE",450,0.877142857142857,6,"In TRUE","SD TRUE"
500,0.898571428571429,6,"In TRUE","SD TRUE",500,1,6,"In TRUE","SD TRUE",500,1,6,"In TRUE","SD TRUE",500,0.871428571428571,6,"In TRUE","SD TRUE"
50,0.795714285714286,5,"In TRUE","SD TRUE",50,0.871428571428571,5,"In TRUE","SD TRUE",50,0.942857142857143,5,"In TRUE","SD TRUE",50,0.754285714285714,5,"In TRUE","SD TRUE"
100,0.78,5,"In TRUE","SD TRUE",100,0.938571428571429,5,"In TRUE","SD TRUE",100,0.982857142857143,5,"In TRUE","SD TRUE",100,0.741428571428571,5,"In TRUE","SD TRUE"
150,0.787142857142857,5,"In TRUE","SD TRUE",150,0.974285714285714,5,"In TRUE","SD TRUE",150,0.997142857142857,5,"In TRUE","SD TRUE",150,0.784285714285714,5,"In TRUE","SD TRUE"
200,0.798571428571429,5,"In TRUE","SD TRUE",200,0.991428571428571,5,"In TRUE","SD TRUE",200,1,5,"In TRUE","SD TRUE",200,0.758571428571429,5,"In TRUE","SD TRUE"
250,0.821428571428571,5,"In TRUE","SD TRUE",250,0.992857142857143,5,"In TRUE","SD TRUE",250,1,5,"In TRUE","SD TRUE",250,0.797142857142857,5,"In TRUE","SD TRUE"
300,0.807142857142857,5,"In TRUE","SD TRUE",300,1,5,"In TRUE","SD TRUE",300,1,5,"In TRUE","SD TRUE",300,0.79,5,"In TRUE","SD TRUE"
350,0.828571428571429,5,"In TRUE","SD TRUE",350,1,5,"In TRUE","SD TRUE",350,1,5,"In TRUE","SD TRUE",350,0.794285714285714,5,"In TRUE","SD TRUE"
400,0.794285714285714,5,"In TRUE","SD TRUE",400,1,5,"In TRUE","SD TRUE",400,1,5,"In TRUE","SD TRUE",400,0.812857142857143,5,"In TRUE","SD TRUE"
450,0.82,5,"In TRUE","SD TRUE",450,1,5,"In TRUE","SD TRUE",450,1,5,"In TRUE","SD TRUE",450,0.788571428571429,5,"In TRUE","SD TRUE"
500,0.818571428571429,5,"In TRUE","SD TRUE",500,0.998571428571429,5,"In TRUE","SD TRUE",500,1,5,"In TRUE","SD TRUE",500,0.792857142857143,5,"In TRUE","SD TRUE"
50,0.642857142857143,4,"In TRUE","SD TRUE",50,0.81,4,"In TRUE","SD TRUE",50,0.885714285714286,4,"In TRUE","SD TRUE",50,0.685714285714286,4,"In TRUE","SD TRUE"
100,0.687142857142857,4,"In TRUE","SD TRUE",100,0.907142857142857,4,"In TRUE","SD TRUE",100,0.945714285714286,4,"In TRUE","SD TRUE",100,0.691428571428571,4,"In TRUE","SD TRUE"
150,0.68,4,"In TRUE","SD TRUE",150,0.932857142857143,4,"In TRUE","SD TRUE",150,0.985714285714286,4,"In TRUE","SD TRUE",150,0.682857142857143,4,"In TRUE","SD TRUE"
200,0.652857142857143,4,"In TRUE","SD TRUE",200,0.964285714285714,4,"In TRUE","SD TRUE",200,0.99,4,"In TRUE","SD TRUE",200,0.674285714285714,4,"In TRUE","SD TRUE"
250,0.688571428571429,4,"In TRUE","SD TRUE",250,0.991428571428571,4,"In TRUE","SD TRUE",250,1,4,"In TRUE","SD TRUE",250,0.698571428571429,4,"In TRUE","SD TRUE"
300,0.67,4,"In TRUE","SD TRUE",300,0.998571428571429,4,"In TRUE","SD TRUE",300,1,4,"In TRUE","SD TRUE",300,0.674285714285714,4,"In TRUE","SD TRUE"
350,0.69,4,"In TRUE","SD TRUE",350,0.994285714285714,4,"In TRUE","SD TRUE",350,1,4,"In TRUE","SD TRUE",350,0.694285714285714,4,"In TRUE","SD TRUE"
400,0.712857142857143,4,"In TRUE","SD TRUE",400,1,4,"In TRUE","SD TRUE",400,1,4,"In TRUE","SD TRUE",400,0.657142857142857,4,"In TRUE","SD TRUE"
450,0.704285714285714,4,"In TRUE","SD TRUE",450,0.998571428571429,4,"In TRUE","SD TRUE",450,1,4,"In TRUE","SD TRUE",450,0.694285714285714,4,"In TRUE","SD TRUE"
500,0.705714285714286,4,"In TRUE","SD TRUE",500,1,4,"In TRUE","SD TRUE",500,1,4,"In TRUE","SD TRUE",500,0.667142857142857,4,"In TRUE","SD TRUE"
50,0.542857142857143,3,"In TRUE","SD TRUE",50,0.652857142857143,3,"In TRUE","SD TRUE",50,0.724285714285714,3,"In TRUE","SD TRUE",50,0.52,3,"In TRUE","SD TRUE"
100,0.531428571428571,3,"In TRUE","SD TRUE",100,0.797142857142857,3,"In TRUE","SD TRUE",100,0.881428571428571,3,"In TRUE","SD TRUE",100,0.497142857142857,3,"In TRUE","SD TRUE"
150,0.531428571428571,3,"In TRUE","SD TRUE",150,0.857142857142857,3,"In TRUE","SD TRUE",150,0.93,3,"In TRUE","SD TRUE",150,0.53,3,"In TRUE","SD TRUE"
200,0.538571428571429,3,"In TRUE","SD TRUE",200,0.93,3,"In TRUE","SD TRUE",200,0.977142857142857,3,"In TRUE","SD TRUE",200,0.532857142857143,3,"In TRUE","SD TRUE"
250,0.542857142857143,3,"In TRUE","SD TRUE",250,0.964285714285714,3,"In TRUE","SD TRUE",250,0.997142857142857,3,"In TRUE","SD TRUE",250,0.562857142857143,3,"In TRUE","SD TRUE"
300,0.562857142857143,3,"In TRUE","SD TRUE",300,0.98,3,"In TRUE","SD TRUE",300,0.997142857142857,3,"In TRUE","SD TRUE",300,0.52,3,"In TRUE","SD TRUE"
350,0.555714285714286,3,"In TRUE","SD TRUE",350,0.982857142857143,3,"In TRUE","SD TRUE",350,0.998571428571429,3,"In TRUE","SD TRUE",350,0.562857142857143,3,"In TRUE","SD TRUE"
400,0.53,3,"In TRUE","SD TRUE",400,0.991428571428571,3,"In TRUE","SD TRUE",400,0.998571428571429,3,"In TRUE","SD TRUE",400,0.578571428571429,3,"In TRUE","SD TRUE"
450,0.534285714285714,3,"In TRUE","SD TRUE",450,0.995714285714286,3,"In TRUE","SD TRUE",450,1,3,"In TRUE","SD TRUE",450,0.56,3,"In TRUE","SD TRUE"
500,0.562857142857143,3,"In TRUE","SD TRUE",500,0.995714285714286,3,"In TRUE","SD TRUE",500,1,3,"In TRUE","SD TRUE",500,0.577142857142857,3,"In TRUE","SD TRUE"
50,0.382857142857143,2,"In TRUE","SD TRUE",50,0.472857142857143,2,"In TRUE","SD TRUE",50,0.547142857142857,2,"In TRUE","SD TRUE",50,0.348571428571429,2,"In TRUE","SD TRUE"
100,0.342857142857143,2,"In TRUE","SD TRUE",100,0.582857142857143,2,"In TRUE","SD TRUE",100,0.737142857142857,2,"In TRUE","SD TRUE",100,0.358571428571429,2,"In TRUE","SD TRUE"
150,0.371428571428571,2,"In TRUE","SD TRUE",150,0.734285714285714,2,"In TRUE","SD TRUE",150,0.807142857142857,2,"In TRUE","SD TRUE",150,0.425714285714286,2,"In TRUE","SD TRUE"
200,0.392857142857143,2,"In TRUE","SD TRUE",200,0.771428571428571,2,"In TRUE","SD TRUE",200,0.898571428571429,2,"In TRUE","SD TRUE",200,0.371428571428571,2,"In TRUE","SD TRUE"
250,0.391428571428571,2,"In TRUE","SD TRUE",250,0.871428571428571,2,"In TRUE","SD TRUE",250,0.96,2,"In TRUE","SD TRUE",250,0.364285714285714,2,"In TRUE","SD TRUE"
300,0.358571428571429,2,"In TRUE","SD TRUE",300,0.902857142857143,2,"In TRUE","SD TRUE",300,0.974285714285714,2,"In TRUE","SD TRUE",300,0.395714285714286,2,"In TRUE","SD TRUE"
350,0.355714285714286,2,"In TRUE","SD TRUE",350,0.915714285714286,2,"In TRUE","SD TRUE",350,0.987142857142857,2,"In TRUE","SD TRUE",350,0.384285714285714,2,"In TRUE","SD TRUE"
400,0.391428571428571,2,"In TRUE","SD TRUE",400,0.947142857142857,2,"In TRUE","SD TRUE",400,0.997142857142857,2,"In TRUE","SD TRUE",400,0.398571428571429,2,"In TRUE","SD TRUE"
450,0.368571428571429,2,"In TRUE","SD TRUE",450,0.967142857142857,2,"In TRUE","SD TRUE",450,1,2,"In TRUE","SD TRUE",450,0.411428571428571,2,"In TRUE","SD TRUE"
500,0.404285714285714,2,"In TRUE","SD TRUE",500,0.975714285714286,2,"In TRUE","SD TRUE",500,0.997142857142857,2,"In TRUE","SD TRUE",500,0.43,2,"In TRUE","SD TRUE"
50,0.191428571428571,1,"In TRUE","SD TRUE",50,0.185714285714286,1,"In TRUE","SD TRUE",50,0.188571428571429,1,"In TRUE","SD TRUE",50,0.204285714285714,1,"In TRUE","SD TRUE"
100,0.192857142857143,1,"In TRUE","SD TRUE",100,0.19,1,"In TRUE","SD TRUE",100,0.222857142857143,1,"In TRUE","SD TRUE",100,0.202857142857143,1,"In TRUE","SD TRUE"
150,0.171428571428571,1,"In TRUE","SD TRUE",150,0.188571428571429,1,"In TRUE","SD TRUE",150,0.161428571428571,1,"In TRUE","SD TRUE",150,0.215714285714286,1,"In TRUE","SD TRUE"
200,0.182857142857143,1,"In TRUE","SD TRUE",200,0.192857142857143,1,"In TRUE","SD TRUE",200,0.182857142857143,1,"In TRUE","SD TRUE",200,0.245714285714286,1,"In TRUE","SD TRUE"
250,0.162857142857143,1,"In TRUE","SD TRUE",250,0.212857142857143,1,"In TRUE","SD TRUE",250,0.182857142857143,1,"In TRUE","SD TRUE",250,0.195714285714286,1,"In TRUE","SD TRUE"
300,0.167142857142857,1,"In TRUE","SD TRUE",300,0.207142857142857,1,"In TRUE","SD TRUE",300,0.164285714285714,1,"In TRUE","SD TRUE",300,0.198571428571429,1,"In TRUE","SD TRUE"
350,0.178571428571429,1,"In TRUE","SD TRUE",350,0.195714285714286,1,"In TRUE","SD TRUE",350,0.178571428571429,1,"In TRUE","SD TRUE",350,0.204285714285714,1,"In TRUE","SD TRUE"
400,0.182857142857143,1,"In TRUE","SD TRUE",400,0.188571428571429,1,"In TRUE","SD TRUE",400,0.212857142857143,1,"In TRUE","SD TRUE",400,0.228571428571429,1,"In TRUE","SD TRUE"
450,0.192857142857143,1,"In TRUE","SD TRUE",450,0.185714285714286,1,"In TRUE","SD TRUE",450,0.192857142857143,1,"In TRUE","SD TRUE",450,0.205714285714286,1,"In TRUE","SD TRUE"
500,0.18,1,"In TRUE","SD TRUE",500,0.215714285714286,1,"In TRUE","SD TRUE",500,0.161428571428571,1,"In TRUE","SD TRUE",500,0.185714285714286,1,"In TRUE","SD TRUE"
