"","finalresultNorm.Pr","finalresultNorm.Power2","finalresultNorm.Power3","finalresultNorm.OutlierExclusion","finalresultNorm.IndependentVariables","finalresultNorm.Type","finalresultNorm.SampleSize","finalresultBin.Pr","finalresultBin.Power2","finalresultBin.Power3","finalresultBin.OutlierExclusion","finalresultBin.IndependentVariables","finalresultBin.Type","finalresultBin.SampleSize","finalresultNormBin.Pr","finalresultNormBin.Power2","finalresultNormBin.Power3","finalresultNormBin.OutlierExclusion","finalresultNormBin.IndependentVariables","finalresultNormBin.Type","finalresultNormBin.SampleSize","finalresultBinNorm.Pr","finalresultBinNorm.Power2","finalresultBinNorm.Power3","finalresultBinNorm.OutlierExclusion","finalresultBinNorm.IndependentVariables","finalresultBinNorm.Type","finalresultBinNorm.SampleSize"
"782",0.0843333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",2,1,300,0.071,"Power2 FALSE","Power3 FALSE","SD FALSE",2,2,300,0.0743333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",2,3,300,0.073,"Power2 FALSE","Power3 FALSE","SD FALSE",2,4,300
"783",0.0993333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",3,1,300,0.089,"Power2 FALSE","Power3 FALSE","SD FALSE",3,2,300,0.111666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",3,3,300,0.0863333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",3,4,300
"793",0.0693333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",1,1,350,0.0603333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",1,2,350,0.0656666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",1,3,350,0.059,"Power2 FALSE","Power3 FALSE","SD FALSE",1,4,350
"794",0.0823333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",2,1,350,0.069,"Power2 FALSE","Power3 FALSE","SD FALSE",2,2,350,0.0776666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",2,3,350,0.0846666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",2,4,350
"795",0.105,"Power2 FALSE","Power3 FALSE","SD FALSE",3,1,350,0.0876666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",3,2,350,0.11,"Power2 FALSE","Power3 FALSE","SD FALSE",3,3,350,0.091,"Power2 FALSE","Power3 FALSE","SD FALSE",3,4,350
"805",0.072,"Power2 FALSE","Power3 FALSE","SD FALSE",1,1,400,0.0623333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",1,2,400,0.066,"Power2 FALSE","Power3 FALSE","SD FALSE",1,3,400,0.0636666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",1,4,400
"806",0.094,"Power2 FALSE","Power3 FALSE","SD FALSE",2,1,400,0.0733333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",2,2,400,0.0816666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",2,3,400,0.0783333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",2,4,400
"807",0.0993333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",3,1,400,0.0843333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",3,2,400,0.105333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",3,3,400,0.0886666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",3,4,400
"817",0.0666666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",1,1,450,0.0696666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",1,2,450,0.0613333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",1,3,450,0.0566666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",1,4,450
"818",0.0846666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",2,1,450,0.0733333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",2,2,450,0.0833333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",2,3,450,0.0796666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",2,4,450
"819",0.100333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",3,1,450,0.089,"Power2 FALSE","Power3 FALSE","SD FALSE",3,2,450,0.092,"Power2 FALSE","Power3 FALSE","SD FALSE",3,3,450,0.0866666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",3,4,450
"829",0.0726666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",1,1,500,0.057,"Power2 FALSE","Power3 FALSE","SD FALSE",1,2,500,0.0656666666666667,"Power2 FALSE","Power3 FALSE","SD FALSE",1,3,500,0.0573333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",1,4,500
"830",0.087,"Power2 FALSE","Power3 FALSE","SD FALSE",2,1,500,0.0743333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",2,2,500,0.0803333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",2,3,500,0.0673333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",2,4,500
"831",0.099,"Power2 FALSE","Power3 FALSE","SD FALSE",3,1,500,0.0833333333333333,"Power2 FALSE","Power3 FALSE","SD FALSE",3,2,500,0.086,"Power2 FALSE","Power3 FALSE","SD FALSE",3,3,500,0.083,"Power2 FALSE","Power3 FALSE","SD FALSE",3,4,500
"841",0.0746666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",1,1,50,0.0703333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",1,2,50,0.0676666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",1,3,50,0.065,"Power2 FALSE","Power3 TRUE","SD FALSE",1,4,50
"842",0.0933333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,1,50,0.0963333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,2,50,0.0963333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,3,50,0.0863333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,4,50
"843",0.139666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",3,1,50,0.129333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",3,2,50,0.140666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",3,3,50,0.136666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",3,4,50
"853",0.0686666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",1,1,100,0.0636666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",1,2,100,0.0706666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",1,3,100,0.0766666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",1,4,100
"854",0.0923333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,1,100,0.08,"Power2 FALSE","Power3 TRUE","SD FALSE",2,2,100,0.0983333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,3,100,0.0836666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",2,4,100
"855",0.123333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",3,1,100,0.101333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",3,2,100,0.114666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",3,3,100,0.104333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",3,4,100
"865",0.0593333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",1,1,150,0.0656666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",1,2,150,0.07,"Power2 FALSE","Power3 TRUE","SD FALSE",1,3,150,0.062,"Power2 FALSE","Power3 TRUE","SD FALSE",1,4,150
"866",0.0873333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,1,150,0.0836666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",2,2,150,0.086,"Power2 FALSE","Power3 TRUE","SD FALSE",2,3,150,0.083,"Power2 FALSE","Power3 TRUE","SD FALSE",2,4,150
"867",0.125666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",3,1,150,0.108,"Power2 FALSE","Power3 TRUE","SD FALSE",3,2,150,0.109333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",3,3,150,0.101666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",3,4,150
"877",0.0626666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",1,1,200,0.0696666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",1,2,200,0.0673333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",1,3,200,0.0566666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",1,4,200
"878",0.0863333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,1,200,0.0873333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,2,200,0.0933333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,3,200,0.074,"Power2 FALSE","Power3 TRUE","SD FALSE",2,4,200
"879",0.099,"Power2 FALSE","Power3 TRUE","SD FALSE",3,1,200,0.105666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",3,2,200,0.099,"Power2 FALSE","Power3 TRUE","SD FALSE",3,3,200,0.0923333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",3,4,200
"889",0.0733333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",1,1,250,0.0613333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",1,2,250,0.0696666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",1,3,250,0.0663333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",1,4,250
"890",0.0846666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",2,1,250,0.068,"Power2 FALSE","Power3 TRUE","SD FALSE",2,2,250,0.085,"Power2 FALSE","Power3 TRUE","SD FALSE",2,3,250,0.0866666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",2,4,250
"891",0.116333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",3,1,250,0.0903333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",3,2,250,0.114,"Power2 FALSE","Power3 TRUE","SD FALSE",3,3,250,0.096,"Power2 FALSE","Power3 TRUE","SD FALSE",3,4,250
"901",0.06,"Power2 FALSE","Power3 TRUE","SD FALSE",1,1,300,0.0713333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",1,2,300,0.069,"Power2 FALSE","Power3 TRUE","SD FALSE",1,3,300,0.0636666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",1,4,300
"902",0.0953333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,1,300,0.0883333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,2,300,0.088,"Power2 FALSE","Power3 TRUE","SD FALSE",2,3,300,0.076,"Power2 FALSE","Power3 TRUE","SD FALSE",2,4,300
"903",0.113,"Power2 FALSE","Power3 TRUE","SD FALSE",3,1,300,0.098,"Power2 FALSE","Power3 TRUE","SD FALSE",3,2,300,0.109333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",3,3,300,0.0983333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",3,4,300
"913",0.062,"Power2 FALSE","Power3 TRUE","SD FALSE",1,1,350,0.062,"Power2 FALSE","Power3 TRUE","SD FALSE",1,2,350,0.0723333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",1,3,350,0.064,"Power2 FALSE","Power3 TRUE","SD FALSE",1,4,350
"914",0.0863333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,1,350,0.0873333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,2,350,0.0856666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",2,3,350,0.0836666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",2,4,350
"915",0.110666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",3,1,350,0.0886666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",3,2,350,0.112,"Power2 FALSE","Power3 TRUE","SD FALSE",3,3,350,0.101666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",3,4,350
"925",0.0646666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",1,1,400,0.075,"Power2 FALSE","Power3 TRUE","SD FALSE",1,2,400,0.07,"Power2 FALSE","Power3 TRUE","SD FALSE",1,3,400,0.068,"Power2 FALSE","Power3 TRUE","SD FALSE",1,4,400
"926",0.0853333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,1,400,0.081,"Power2 FALSE","Power3 TRUE","SD FALSE",2,2,400,0.076,"Power2 FALSE","Power3 TRUE","SD FALSE",2,3,400,0.0773333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,4,400
"927",0.103333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",3,1,400,0.096,"Power2 FALSE","Power3 TRUE","SD FALSE",3,2,400,0.105333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",3,3,400,0.0943333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",3,4,400
"937",0.0716666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",1,1,450,0.0693333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",1,2,450,0.0643333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",1,3,450,0.0596666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",1,4,450
"938",0.0833333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,1,450,0.0813333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,2,450,0.0813333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,3,450,0.0813333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,4,450
"939",0.113,"Power2 FALSE","Power3 TRUE","SD FALSE",3,1,450,0.0903333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",3,2,450,0.111666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",3,3,450,0.100333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",3,4,450
"949",0.0743333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",1,1,500,0.062,"Power2 FALSE","Power3 TRUE","SD FALSE",1,2,500,0.071,"Power2 FALSE","Power3 TRUE","SD FALSE",1,3,500,0.0663333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",1,4,500
"950",0.083,"Power2 FALSE","Power3 TRUE","SD FALSE",2,1,500,0.076,"Power2 FALSE","Power3 TRUE","SD FALSE",2,2,500,0.0823333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",2,3,500,0.0806666666666667,"Power2 FALSE","Power3 TRUE","SD FALSE",2,4,500
"951",0.113,"Power2 FALSE","Power3 TRUE","SD FALSE",3,1,500,0.0973333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",3,2,500,0.0973333333333333,"Power2 FALSE","Power3 TRUE","SD FALSE",3,3,500,0.096,"Power2 FALSE","Power3 TRUE","SD FALSE",3,4,500
