"","finalresultNormDV.Pr","finalresultNormDV.Interaction","finalresultNormDV.OutlierExclusion","finalresultNormDV.IndependentVariables","finalresultNormDV.Type","finalresultNormDV.SampleSize","finalresultNormBinDV.Pr","finalresultNormBinDV.Interaction","finalresultNormBinDV.OutlierExclusion","finalresultNormBinDV.IndependentVariables","finalresultNormBinDV.Type","finalresultNormBinDV.SampleSize"
"60",0.225,"In FALSE","SD TRUE",2,1,500,0.214,"In FALSE","SD TRUE",2,2,500
"61",0.397,"In TRUE","SD FALSE",2,1,50,0.607,"In TRUE","SD FALSE",2,2,50
"62",0.41,"In TRUE","SD FALSE",2,1,100,0.792,"In TRUE","SD FALSE",2,2,100
"63",0.372,"In TRUE","SD FALSE",2,1,150,0.889,"In TRUE","SD FALSE",2,2,150
"64",0.383,"In TRUE","SD FALSE",2,1,200,0.945,"In TRUE","SD FALSE",2,2,200
"65",0.398,"In TRUE","SD FALSE",2,1,250,0.979,"In TRUE","SD FALSE",2,2,250
"66",0.423,"In TRUE","SD FALSE",2,1,300,0.995,"In TRUE","SD FALSE",2,2,300
"67",0.399,"In TRUE","SD FALSE",2,1,350,0.995,"In TRUE","SD FALSE",2,2,350
"68",0.369,"In TRUE","SD FALSE",2,1,400,0.998,"In TRUE","SD FALSE",2,2,400
"69",0.386,"In TRUE","SD FALSE",2,1,450,0.997,"In TRUE","SD FALSE",2,2,450
"70",0.397,"In TRUE","SD FALSE",2,1,500,0.999,"In TRUE","SD FALSE",2,2,500
"71",0.13,"In FALSE","SD FALSE",2,1,50,0.136,"In FALSE","SD FALSE",2,2,50
"72",0.126,"In FALSE","SD FALSE",2,1,100,0.132,"In FALSE","SD FALSE",2,2,100
"73",0.14,"In FALSE","SD FALSE",2,1,150,0.131,"In FALSE","SD FALSE",2,2,150
"74",0.111,"In FALSE","SD FALSE",2,1,200,0.115,"In FALSE","SD FALSE",2,2,200
"75",0.13,"In FALSE","SD FALSE",2,1,250,0.124,"In FALSE","SD FALSE",2,2,250
"76",0.133,"In FALSE","SD FALSE",2,1,300,0.118,"In FALSE","SD FALSE",2,2,300
"77",0.139,"In FALSE","SD FALSE",2,1,350,0.139,"In FALSE","SD FALSE",2,2,350
"78",0.127,"In FALSE","SD FALSE",2,1,400,0.13,"In FALSE","SD FALSE",2,2,400
"79",0.146,"In FALSE","SD FALSE",2,1,450,0.139,"In FALSE","SD FALSE",2,2,450
"80",0.116,"In FALSE","SD FALSE",2,1,500,0.145,"In FALSE","SD FALSE",2,2,500
"81",0.767,"In TRUE","SD TRUE",3,1,50,0.927,"In TRUE","SD TRUE",3,2,50
"82",0.781,"In TRUE","SD TRUE",3,1,100,0.987,"In TRUE","SD TRUE",3,2,100
"83",0.8,"In TRUE","SD TRUE",3,1,150,0.994,"In TRUE","SD TRUE",3,2,150
"84",0.785,"In TRUE","SD TRUE",3,1,200,0.998,"In TRUE","SD TRUE",3,2,200
"85",0.797,"In TRUE","SD TRUE",3,1,250,1,"In TRUE","SD TRUE",3,2,250
"86",0.784,"In TRUE","SD TRUE",3,1,300,1,"In TRUE","SD TRUE",3,2,300
"87",0.803,"In TRUE","SD TRUE",3,1,350,1,"In TRUE","SD TRUE",3,2,350
"88",0.822,"In TRUE","SD TRUE",3,1,400,1,"In TRUE","SD TRUE",3,2,400
"89",0.799,"In TRUE","SD TRUE",3,1,450,1,"In TRUE","SD TRUE",3,2,450
"90",0.798,"In TRUE","SD TRUE",3,1,500,1,"In TRUE","SD TRUE",3,2,500
"91",0.278,"In FALSE","SD TRUE",3,1,50,0.306,"In FALSE","SD TRUE",3,2,50
"92",0.269,"In FALSE","SD TRUE",3,1,100,0.264,"In FALSE","SD TRUE",3,2,100
"93",0.299,"In FALSE","SD TRUE",3,1,150,0.254,"In FALSE","SD TRUE",3,2,150
"94",0.311,"In FALSE","SD TRUE",3,1,200,0.266,"In FALSE","SD TRUE",3,2,200
"95",0.27,"In FALSE","SD TRUE",3,1,250,0.257,"In FALSE","SD TRUE",3,2,250
"96",0.292,"In FALSE","SD TRUE",3,1,300,0.264,"In FALSE","SD TRUE",3,2,300
"97",0.294,"In FALSE","SD TRUE",3,1,350,0.257,"In FALSE","SD TRUE",3,2,350
"98",0.304,"In FALSE","SD TRUE",3,1,400,0.263,"In FALSE","SD TRUE",3,2,400
"99",0.278,"In FALSE","SD TRUE",3,1,450,0.267,"In FALSE","SD TRUE",3,2,450
"100",0.271,"In FALSE","SD TRUE",3,1,500,0.261,"In FALSE","SD TRUE",3,2,500
"101",0.563,"In TRUE","SD FALSE",3,1,50,0.809,"In TRUE","SD FALSE",3,2,50
"102",0.534,"In TRUE","SD FALSE",3,1,100,0.942,"In TRUE","SD FALSE",3,2,100
"103",0.525,"In TRUE","SD FALSE",3,1,150,0.977,"In TRUE","SD FALSE",3,2,150
"104",0.532,"In TRUE","SD FALSE",3,1,200,0.99,"In TRUE","SD FALSE",3,2,200
"105",0.573,"In TRUE","SD FALSE",3,1,250,0.998,"In TRUE","SD FALSE",3,2,250
"106",0.532,"In TRUE","SD FALSE",3,1,300,1,"In TRUE","SD FALSE",3,2,300
"107",0.555,"In TRUE","SD FALSE",3,1,350,1,"In TRUE","SD FALSE",3,2,350
"108",0.558,"In TRUE","SD FALSE",3,1,400,1,"In TRUE","SD FALSE",3,2,400
"109",0.516,"In TRUE","SD FALSE",3,1,450,1,"In TRUE","SD FALSE",3,2,450
"110",0.568,"In TRUE","SD FALSE",3,1,500,1,"In TRUE","SD FALSE",3,2,500
"111",0.153,"In FALSE","SD FALSE",3,1,50,0.144,"In FALSE","SD FALSE",3,2,50
"112",0.166,"In FALSE","SD FALSE",3,1,100,0.184,"In FALSE","SD FALSE",3,2,100
"113",0.15,"In FALSE","SD FALSE",3,1,150,0.177,"In FALSE","SD FALSE",3,2,150
"114",0.169,"In FALSE","SD FALSE",3,1,200,0.181,"In FALSE","SD FALSE",3,2,200
"115",0.158,"In FALSE","SD FALSE",3,1,250,0.142,"In FALSE","SD FALSE",3,2,250
"116",0.164,"In FALSE","SD FALSE",3,1,300,0.151,"In FALSE","SD FALSE",3,2,300
"117",0.174,"In FALSE","SD FALSE",3,1,350,0.16,"In FALSE","SD FALSE",3,2,350
"118",0.162,"In FALSE","SD FALSE",3,1,400,0.162,"In FALSE","SD FALSE",3,2,400
"119",0.155,"In FALSE","SD FALSE",3,1,450,0.163,"In FALSE","SD FALSE",3,2,450
"120",0.19,"In FALSE","SD FALSE",3,1,500,0.163,"In FALSE","SD FALSE",3,2,500
"121",0.883,"In TRUE","SD TRUE",4,1,50,0.973,"In TRUE","SD TRUE",4,2,50
"122",0.897,"In TRUE","SD TRUE",4,1,100,0.997,"In TRUE","SD TRUE",4,2,100
"123",0.904,"In TRUE","SD TRUE",4,1,150,1,"In TRUE","SD TRUE",4,2,150
"124",0.884,"In TRUE","SD TRUE",4,1,200,1,"In TRUE","SD TRUE",4,2,200
"125",0.896,"In TRUE","SD TRUE",4,1,250,1,"In TRUE","SD TRUE",4,2,250
"126",0.905,"In TRUE","SD TRUE",4,1,300,1,"In TRUE","SD TRUE",4,2,300
"127",0.896,"In TRUE","SD TRUE",4,1,350,1,"In TRUE","SD TRUE",4,2,350
"128",0.895,"In TRUE","SD TRUE",4,1,400,1,"In TRUE","SD TRUE",4,2,400
"129",0.893,"In TRUE","SD TRUE",4,1,450,1,"In TRUE","SD TRUE",4,2,450
"130",0.902,"In TRUE","SD TRUE",4,1,500,1,"In TRUE","SD TRUE",4,2,500
"131",0.325,"In FALSE","SD TRUE",4,1,50,0.331,"In FALSE","SD TRUE",4,2,50
"132",0.332,"In FALSE","SD TRUE",4,1,100,0.294,"In FALSE","SD TRUE",4,2,100
"133",0.318,"In FALSE","SD TRUE",4,1,150,0.308,"In FALSE","SD TRUE",4,2,150
"134",0.348,"In FALSE","SD TRUE",4,1,200,0.304,"In FALSE","SD TRUE",4,2,200
"135",0.326,"In FALSE","SD TRUE",4,1,250,0.304,"In FALSE","SD TRUE",4,2,250
"136",0.307,"In FALSE","SD TRUE",4,1,300,0.304,"In FALSE","SD TRUE",4,2,300
"137",0.334,"In FALSE","SD TRUE",4,1,350,0.306,"In FALSE","SD TRUE",4,2,350
"138",0.329,"In FALSE","SD TRUE",4,1,400,0.301,"In FALSE","SD TRUE",4,2,400
"139",0.312,"In FALSE","SD TRUE",4,1,450,0.298,"In FALSE","SD TRUE",4,2,450
"140",0.311,"In FALSE","SD TRUE",4,1,500,0.329,"In FALSE","SD TRUE",4,2,500
"141",0.727,"In TRUE","SD FALSE",4,1,50,0.916,"In TRUE","SD FALSE",4,2,50
"142",0.675,"In TRUE","SD FALSE",4,1,100,0.985,"In TRUE","SD FALSE",4,2,100
"143",0.694,"In TRUE","SD FALSE",4,1,150,0.997,"In TRUE","SD FALSE",4,2,150
"144",0.71,"In TRUE","SD FALSE",4,1,200,0.998,"In TRUE","SD FALSE",4,2,200
"145",0.708,"In TRUE","SD FALSE",4,1,250,1,"In TRUE","SD FALSE",4,2,250
"146",0.702,"In TRUE","SD FALSE",4,1,300,1,"In TRUE","SD FALSE",4,2,300
"147",0.695,"In TRUE","SD FALSE",4,1,350,1,"In TRUE","SD FALSE",4,2,350
"148",0.699,"In TRUE","SD FALSE",4,1,400,1,"In TRUE","SD FALSE",4,2,400
"149",0.687,"In TRUE","SD FALSE",4,1,450,1,"In TRUE","SD FALSE",4,2,450
"150",0.717,"In TRUE","SD FALSE",4,1,500,1,"In TRUE","SD FALSE",4,2,500
"151",0.154,"In FALSE","SD FALSE",4,1,50,0.168,"In FALSE","SD FALSE",4,2,50
"152",0.204,"In FALSE","SD FALSE",4,1,100,0.192,"In FALSE","SD FALSE",4,2,100
"153",0.175,"In FALSE","SD FALSE",4,1,150,0.169,"In FALSE","SD FALSE",4,2,150
"154",0.189,"In FALSE","SD FALSE",4,1,200,0.178,"In FALSE","SD FALSE",4,2,200
"155",0.19,"In FALSE","SD FALSE",4,1,250,0.19,"In FALSE","SD FALSE",4,2,250
"156",0.179,"In FALSE","SD FALSE",4,1,300,0.196,"In FALSE","SD FALSE",4,2,300
"157",0.191,"In FALSE","SD FALSE",4,1,350,0.195,"In FALSE","SD FALSE",4,2,350
"158",0.162,"In FALSE","SD FALSE",4,1,400,0.17,"In FALSE","SD FALSE",4,2,400
"159",0.195,"In FALSE","SD FALSE",4,1,450,0.201,"In FALSE","SD FALSE",4,2,450
"160",0.188,"In FALSE","SD FALSE",4,1,500,0.213,"In FALSE","SD FALSE",4,2,500
"161",0.967,"In TRUE","SD TRUE",5,1,50,0.993,"In TRUE","SD TRUE",5,2,50
"162",0.967,"In TRUE","SD TRUE",5,1,100,0.999,"In TRUE","SD TRUE",5,2,100
"163",0.96,"In TRUE","SD TRUE",5,1,150,1,"In TRUE","SD TRUE",5,2,150
"164",0.968,"In TRUE","SD TRUE",5,1,200,1,"In TRUE","SD TRUE",5,2,200
"165",0.97,"In TRUE","SD TRUE",5,1,250,1,"In TRUE","SD TRUE",5,2,250
"166",0.958,"In TRUE","SD TRUE",5,1,300,1,"In TRUE","SD TRUE",5,2,300
"167",0.962,"In TRUE","SD TRUE",5,1,350,1,"In TRUE","SD TRUE",5,2,350
"168",0.967,"In TRUE","SD TRUE",5,1,400,1,"In TRUE","SD TRUE",5,2,400
"169",0.952,"In TRUE","SD TRUE",5,1,450,1,"In TRUE","SD TRUE",5,2,450
"170",0.959,"In TRUE","SD TRUE",5,1,500,1,"In TRUE","SD TRUE",5,2,500
"171",0.395,"In FALSE","SD TRUE",5,1,50,0.372,"In FALSE","SD TRUE",5,2,50
"172",0.395,"In FALSE","SD TRUE",5,1,100,0.363,"In FALSE","SD TRUE",5,2,100
"173",0.397,"In FALSE","SD TRUE",5,1,150,0.353,"In FALSE","SD TRUE",5,2,150
"174",0.395,"In FALSE","SD TRUE",5,1,200,0.337,"In FALSE","SD TRUE",5,2,200
"175",0.405,"In FALSE","SD TRUE",5,1,250,0.318,"In FALSE","SD TRUE",5,2,250
"176",0.341,"In FALSE","SD TRUE",5,1,300,0.369,"In FALSE","SD TRUE",5,2,300
"177",0.365,"In FALSE","SD TRUE",5,1,350,0.37,"In FALSE","SD TRUE",5,2,350
"178",0.375,"In FALSE","SD TRUE",5,1,400,0.353,"In FALSE","SD TRUE",5,2,400
"179",0.381,"In FALSE","SD TRUE",5,1,450,0.349,"In FALSE","SD TRUE",5,2,450
"180",0.371,"In FALSE","SD TRUE",5,1,500,0.363,"In FALSE","SD TRUE",5,2,500
"181",0.841,"In TRUE","SD FALSE",5,1,50,0.968,"In TRUE","SD FALSE",5,2,50
"182",0.825,"In TRUE","SD FALSE",5,1,100,0.996,"In TRUE","SD FALSE",5,2,100
"183",0.794,"In TRUE","SD FALSE",5,1,150,1,"In TRUE","SD FALSE",5,2,150
"184",0.805,"In TRUE","SD FALSE",5,1,200,1,"In TRUE","SD FALSE",5,2,200
"185",0.828,"In TRUE","SD FALSE",5,1,250,1,"In TRUE","SD FALSE",5,2,250
"186",0.83,"In TRUE","SD FALSE",5,1,300,1,"In TRUE","SD FALSE",5,2,300
"187",0.809,"In TRUE","SD FALSE",5,1,350,1,"In TRUE","SD FALSE",5,2,350
"188",0.826,"In TRUE","SD FALSE",5,1,400,1,"In TRUE","SD FALSE",5,2,400
"189",0.802,"In TRUE","SD FALSE",5,1,450,1,"In TRUE","SD FALSE",5,2,450
"190",0.821,"In TRUE","SD FALSE",5,1,500,1,"In TRUE","SD FALSE",5,2,500
"191",0.217,"In FALSE","SD FALSE",5,1,50,0.241,"In FALSE","SD FALSE",5,2,50
"192",0.24,"In FALSE","SD FALSE",5,1,100,0.229,"In FALSE","SD FALSE",5,2,100
"193",0.226,"In FALSE","SD FALSE",5,1,150,0.221,"In FALSE","SD FALSE",5,2,150
"194",0.217,"In FALSE","SD FALSE",5,1,200,0.245,"In FALSE","SD FALSE",5,2,200
"195",0.223,"In FALSE","SD FALSE",5,1,250,0.216,"In FALSE","SD FALSE",5,2,250
"196",0.226,"In FALSE","SD FALSE",5,1,300,0.218,"In FALSE","SD FALSE",5,2,300
"197",0.222,"In FALSE","SD FALSE",5,1,350,0.227,"In FALSE","SD FALSE",5,2,350
"198",0.206,"In FALSE","SD FALSE",5,1,400,0.235,"In FALSE","SD FALSE",5,2,400
"199",0.211,"In FALSE","SD FALSE",5,1,450,0.223,"In FALSE","SD FALSE",5,2,450
"200",0.238,"In FALSE","SD FALSE",5,1,500,0.231,"In FALSE","SD FALSE",5,2,500
"201",0.993,"In TRUE","SD TRUE",6,1,50,1,"In TRUE","SD TRUE",6,2,50
"202",0.986,"In TRUE","SD TRUE",6,1,100,1,"In TRUE","SD TRUE",6,2,100
"203",0.989,"In TRUE","SD TRUE",6,1,150,1,"In TRUE","SD TRUE",6,2,150
"204",0.992,"In TRUE","SD TRUE",6,1,200,1,"In TRUE","SD TRUE",6,2,200
"205",0.991,"In TRUE","SD TRUE",6,1,250,1,"In TRUE","SD TRUE",6,2,250
"206",0.991,"In TRUE","SD TRUE",6,1,300,1,"In TRUE","SD TRUE",6,2,300
"207",0.989,"In TRUE","SD TRUE",6,1,350,1,"In TRUE","SD TRUE",6,2,350
"208",0.993,"In TRUE","SD TRUE",6,1,400,1,"In TRUE","SD TRUE",6,2,400
"209",0.991,"In TRUE","SD TRUE",6,1,450,1,"In TRUE","SD TRUE",6,2,450
"210",0.996,"In TRUE","SD TRUE",6,1,500,1,"In TRUE","SD TRUE",6,2,500
"211",0.486,"In FALSE","SD TRUE",6,1,50,0.46,"In FALSE","SD TRUE",6,2,50
"212",0.452,"In FALSE","SD TRUE",6,1,100,0.379,"In FALSE","SD TRUE",6,2,100
"213",0.45,"In FALSE","SD TRUE",6,1,150,0.424,"In FALSE","SD TRUE",6,2,150
"214",0.419,"In FALSE","SD TRUE",6,1,200,0.447,"In FALSE","SD TRUE",6,2,200
"215",0.455,"In FALSE","SD TRUE",6,1,250,0.409,"In FALSE","SD TRUE",6,2,250
"216",0.436,"In FALSE","SD TRUE",6,1,300,0.429,"In FALSE","SD TRUE",6,2,300
"217",0.444,"In FALSE","SD TRUE",6,1,350,0.402,"In FALSE","SD TRUE",6,2,350
"218",0.428,"In FALSE","SD TRUE",6,1,400,0.417,"In FALSE","SD TRUE",6,2,400
"219",0.428,"In FALSE","SD TRUE",6,1,450,0.422,"In FALSE","SD TRUE",6,2,450
"220",0.441,"In FALSE","SD TRUE",6,1,500,0.388,"In FALSE","SD TRUE",6,2,500
"221",0.919,"In TRUE","SD FALSE",6,1,50,0.986,"In TRUE","SD FALSE",6,2,50
"222",0.92,"In TRUE","SD FALSE",6,1,100,0.999,"In TRUE","SD FALSE",6,2,100
"223",0.921,"In TRUE","SD FALSE",6,1,150,1,"In TRUE","SD FALSE",6,2,150
