"","finalresultNorm.Pr","finalresultNorm.Interaction","finalresultNorm.OutlierExclusion","finalresultNorm.IndependentVariables","finalresultNorm.Type","finalresultNorm.SampleSize","finalresultBin.Pr","finalresultBin.Interaction","finalresultBin.OutlierExclusion","finalresultBin.IndependentVariables","finalresultBin.Type","finalresultBin.SampleSize","finalresultNormBin.Pr","finalresultNormBin.Interaction","finalresultNormBin.OutlierExclusion","finalresultNormBin.IndependentVariables","finalresultNormBin.Type","finalresultNormBin.SampleSize","finalresultBinNorm.Pr","finalresultBinNorm.Interaction","finalresultBinNorm.OutlierExclusion","finalresultBinNorm.IndependentVariables","finalresultBinNorm.Type","finalresultBinNorm.SampleSize"
"124",0.691,"In TRUE","SD TRUE",4,1,200,0.968,"In TRUE","SD TRUE",4,2,200,1,"In TRUE","SD TRUE",4,3,200,0.671,"In TRUE","SD TRUE",4,4,200
"125",0.705,"In TRUE","SD TRUE",4,1,250,0.984,"In TRUE","SD TRUE",4,2,250,1,"In TRUE","SD TRUE",4,3,250,0.682,"In TRUE","SD TRUE",4,4,250
"126",0.686,"In TRUE","SD TRUE",4,1,300,0.998,"In TRUE","SD TRUE",4,2,300,1,"In TRUE","SD TRUE",4,3,300,0.674,"In TRUE","SD TRUE",4,4,300
"127",0.66,"In TRUE","SD TRUE",4,1,350,0.997,"In TRUE","SD TRUE",4,2,350,1,"In TRUE","SD TRUE",4,3,350,0.72,"In TRUE","SD TRUE",4,4,350
"128",0.675,"In TRUE","SD TRUE",4,1,400,1,"In TRUE","SD TRUE",4,2,400,1,"In TRUE","SD TRUE",4,3,400,0.672,"In TRUE","SD TRUE",4,4,400
"129",0.697,"In TRUE","SD TRUE",4,1,450,0.997,"In TRUE","SD TRUE",4,2,450,1,"In TRUE","SD TRUE",4,3,450,0.712,"In TRUE","SD TRUE",4,4,450
"130",0.701,"In TRUE","SD TRUE",4,1,500,1,"In TRUE","SD TRUE",4,2,500,1,"In TRUE","SD TRUE",4,3,500,0.696,"In TRUE","SD TRUE",4,4,500
"131",0.186,"In FALSE","SD TRUE",4,1,50,0.144,"In FALSE","SD TRUE",4,2,50,0.18,"In FALSE","SD TRUE",4,3,50,0.149,"In FALSE","SD TRUE",4,4,50
"132",0.158,"In FALSE","SD TRUE",4,1,100,0.132,"In FALSE","SD TRUE",4,2,100,0.163,"In FALSE","SD TRUE",4,3,100,0.163,"In FALSE","SD TRUE",4,4,100
"133",0.182,"In FALSE","SD TRUE",4,1,150,0.142,"In FALSE","SD TRUE",4,2,150,0.174,"In FALSE","SD TRUE",4,3,150,0.168,"In FALSE","SD TRUE",4,4,150
"134",0.157,"In FALSE","SD TRUE",4,1,200,0.152,"In FALSE","SD TRUE",4,2,200,0.149,"In FALSE","SD TRUE",4,3,200,0.152,"In FALSE","SD TRUE",4,4,200
"135",0.165,"In FALSE","SD TRUE",4,1,250,0.151,"In FALSE","SD TRUE",4,2,250,0.17,"In FALSE","SD TRUE",4,3,250,0.182,"In FALSE","SD TRUE",4,4,250
"136",0.162,"In FALSE","SD TRUE",4,1,300,0.153,"In FALSE","SD TRUE",4,2,300,0.164,"In FALSE","SD TRUE",4,3,300,0.174,"In FALSE","SD TRUE",4,4,300
"137",0.179,"In FALSE","SD TRUE",4,1,350,0.146,"In FALSE","SD TRUE",4,2,350,0.159,"In FALSE","SD TRUE",4,3,350,0.151,"In FALSE","SD TRUE",4,4,350
"138",0.174,"In FALSE","SD TRUE",4,1,400,0.126,"In FALSE","SD TRUE",4,2,400,0.157,"In FALSE","SD TRUE",4,3,400,0.2,"In FALSE","SD TRUE",4,4,400
"139",0.187,"In FALSE","SD TRUE",4,1,450,0.146,"In FALSE","SD TRUE",4,2,450,0.155,"In FALSE","SD TRUE",4,3,450,0.167,"In FALSE","SD TRUE",4,4,450
"140",0.16,"In FALSE","SD TRUE",4,1,500,0.161,"In FALSE","SD TRUE",4,2,500,0.177,"In FALSE","SD TRUE",4,3,500,0.17,"In FALSE","SD TRUE",4,4,500
"141",0.459,"In TRUE","SD FALSE",4,1,50,0.68,"In TRUE","SD FALSE",4,2,50,0.73,"In TRUE","SD FALSE",4,3,50,0.432,"In TRUE","SD FALSE",4,4,50
"142",0.463,"In TRUE","SD FALSE",4,1,100,0.805,"In TRUE","SD FALSE",4,2,100,0.863,"In TRUE","SD FALSE",4,3,100,0.394,"In TRUE","SD FALSE",4,4,100
"143",0.448,"In TRUE","SD FALSE",4,1,150,0.884,"In TRUE","SD FALSE",4,2,150,0.961,"In TRUE","SD FALSE",4,3,150,0.42,"In TRUE","SD FALSE",4,4,150
"144",0.451,"In TRUE","SD FALSE",4,1,200,0.924,"In TRUE","SD FALSE",4,2,200,0.987,"In TRUE","SD FALSE",4,3,200,0.425,"In TRUE","SD FALSE",4,4,200
"145",0.424,"In TRUE","SD FALSE",4,1,250,0.965,"In TRUE","SD FALSE",4,2,250,0.994,"In TRUE","SD FALSE",4,3,250,0.428,"In TRUE","SD FALSE",4,4,250
"146",0.445,"In TRUE","SD FALSE",4,1,300,0.983,"In TRUE","SD FALSE",4,2,300,0.999,"In TRUE","SD FALSE",4,3,300,0.415,"In TRUE","SD FALSE",4,4,300
"147",0.431,"In TRUE","SD FALSE",4,1,350,0.99,"In TRUE","SD FALSE",4,2,350,1,"In TRUE","SD FALSE",4,3,350,0.398,"In TRUE","SD FALSE",4,4,350
"148",0.466,"In TRUE","SD FALSE",4,1,400,0.996,"In TRUE","SD FALSE",4,2,400,0.999,"In TRUE","SD FALSE",4,3,400,0.429,"In TRUE","SD FALSE",4,4,400
"149",0.45,"In TRUE","SD FALSE",4,1,450,0.998,"In TRUE","SD FALSE",4,2,450,1,"In TRUE","SD FALSE",4,3,450,0.445,"In TRUE","SD FALSE",4,4,450
"150",0.486,"In TRUE","SD FALSE",4,1,500,0.998,"In TRUE","SD FALSE",4,2,500,1,"In TRUE","SD FALSE",4,3,500,0.421,"In TRUE","SD FALSE",4,4,500
"151",0.108,"In FALSE","SD FALSE",4,1,50,0.093,"In FALSE","SD FALSE",4,2,50,0.104,"In FALSE","SD FALSE",4,3,50,0.099,"In FALSE","SD FALSE",4,4,50
"152",0.106,"In FALSE","SD FALSE",4,1,100,0.098,"In FALSE","SD FALSE",4,2,100,0.11,"In FALSE","SD FALSE",4,3,100,0.101,"In FALSE","SD FALSE",4,4,100
"153",0.106,"In FALSE","SD FALSE",4,1,150,0.088,"In FALSE","SD FALSE",4,2,150,0.083,"In FALSE","SD FALSE",4,3,150,0.089,"In FALSE","SD FALSE",4,4,150
"154",0.089,"In FALSE","SD FALSE",4,1,200,0.087,"In FALSE","SD FALSE",4,2,200,0.12,"In FALSE","SD FALSE",4,3,200,0.108,"In FALSE","SD FALSE",4,4,200
"155",0.09,"In FALSE","SD FALSE",4,1,250,0.094,"In FALSE","SD FALSE",4,2,250,0.099,"In FALSE","SD FALSE",4,3,250,0.084,"In FALSE","SD FALSE",4,4,250
"156",0.093,"In FALSE","SD FALSE",4,1,300,0.077,"In FALSE","SD FALSE",4,2,300,0.1,"In FALSE","SD FALSE",4,3,300,0.084,"In FALSE","SD FALSE",4,4,300
"157",0.116,"In FALSE","SD FALSE",4,1,350,0.09,"In FALSE","SD FALSE",4,2,350,0.109,"In FALSE","SD FALSE",4,3,350,0.086,"In FALSE","SD FALSE",4,4,350
"158",0.096,"In FALSE","SD FALSE",4,1,400,0.088,"In FALSE","SD FALSE",4,2,400,0.101,"In FALSE","SD FALSE",4,3,400,0.09,"In FALSE","SD FALSE",4,4,400
"159",0.085,"In FALSE","SD FALSE",4,1,450,0.09,"In FALSE","SD FALSE",4,2,450,0.099,"In FALSE","SD FALSE",4,3,450,0.101,"In FALSE","SD FALSE",4,4,450
"160",0.097,"In FALSE","SD FALSE",4,1,500,0.092,"In FALSE","SD FALSE",4,2,500,0.104,"In FALSE","SD FALSE",4,3,500,0.101,"In FALSE","SD FALSE",4,4,500
"161",0.807,"In TRUE","SD TRUE",5,1,50,0.893,"In TRUE","SD TRUE",5,2,50,0.946,"In TRUE","SD TRUE",5,3,50,0.764,"In TRUE","SD TRUE",5,4,50
"162",0.793,"In TRUE","SD TRUE",5,1,100,0.942,"In TRUE","SD TRUE",5,2,100,0.991,"In TRUE","SD TRUE",5,3,100,0.75,"In TRUE","SD TRUE",5,4,100
"163",0.781,"In TRUE","SD TRUE",5,1,150,0.971,"In TRUE","SD TRUE",5,2,150,0.999,"In TRUE","SD TRUE",5,3,150,0.796,"In TRUE","SD TRUE",5,4,150
"164",0.792,"In TRUE","SD TRUE",5,1,200,0.983,"In TRUE","SD TRUE",5,2,200,0.999,"In TRUE","SD TRUE",5,3,200,0.777,"In TRUE","SD TRUE",5,4,200
"165",0.809,"In TRUE","SD TRUE",5,1,250,0.996,"In TRUE","SD TRUE",5,2,250,0.999,"In TRUE","SD TRUE",5,3,250,0.785,"In TRUE","SD TRUE",5,4,250
"166",0.794,"In TRUE","SD TRUE",5,1,300,1,"In TRUE","SD TRUE",5,2,300,1,"In TRUE","SD TRUE",5,3,300,0.795,"In TRUE","SD TRUE",5,4,300
"167",0.797,"In TRUE","SD TRUE",5,1,350,0.999,"In TRUE","SD TRUE",5,2,350,1,"In TRUE","SD TRUE",5,3,350,0.773,"In TRUE","SD TRUE",5,4,350
"168",0.815,"In TRUE","SD TRUE",5,1,400,1,"In TRUE","SD TRUE",5,2,400,1,"In TRUE","SD TRUE",5,3,400,0.82,"In TRUE","SD TRUE",5,4,400
"169",0.821,"In TRUE","SD TRUE",5,1,450,1,"In TRUE","SD TRUE",5,2,450,1,"In TRUE","SD TRUE",5,3,450,0.79,"In TRUE","SD TRUE",5,4,450
"170",0.819,"In TRUE","SD TRUE",5,1,500,1,"In TRUE","SD TRUE",5,2,500,1,"In TRUE","SD TRUE",5,3,500,0.818,"In TRUE","SD TRUE",5,4,500
"171",0.205,"In FALSE","SD TRUE",5,1,50,0.167,"In FALSE","SD TRUE",5,2,50,0.198,"In FALSE","SD TRUE",5,3,50,0.197,"In FALSE","SD TRUE",5,4,50
"172",0.188,"In FALSE","SD TRUE",5,1,100,0.173,"In FALSE","SD TRUE",5,2,100,0.206,"In FALSE","SD TRUE",5,3,100,0.189,"In FALSE","SD TRUE",5,4,100
"173",0.21,"In FALSE","SD TRUE",5,1,150,0.151,"In FALSE","SD TRUE",5,2,150,0.211,"In FALSE","SD TRUE",5,3,150,0.191,"In FALSE","SD TRUE",5,4,150
"174",0.209,"In FALSE","SD TRUE",5,1,200,0.164,"In FALSE","SD TRUE",5,2,200,0.179,"In FALSE","SD TRUE",5,3,200,0.171,"In FALSE","SD TRUE",5,4,200
"175",0.206,"In FALSE","SD TRUE",5,1,250,0.18,"In FALSE","SD TRUE",5,2,250,0.188,"In FALSE","SD TRUE",5,3,250,0.194,"In FALSE","SD TRUE",5,4,250
"176",0.194,"In FALSE","SD TRUE",5,1,300,0.156,"In FALSE","SD TRUE",5,2,300,0.205,"In FALSE","SD TRUE",5,3,300,0.191,"In FALSE","SD TRUE",5,4,300
"177",0.238,"In FALSE","SD TRUE",5,1,350,0.178,"In FALSE","SD TRUE",5,2,350,0.189,"In FALSE","SD TRUE",5,3,350,0.183,"In FALSE","SD TRUE",5,4,350
"178",0.191,"In FALSE","SD TRUE",5,1,400,0.153,"In FALSE","SD TRUE",5,2,400,0.193,"In FALSE","SD TRUE",5,3,400,0.199,"In FALSE","SD TRUE",5,4,400
"179",0.217,"In FALSE","SD TRUE",5,1,450,0.178,"In FALSE","SD TRUE",5,2,450,0.202,"In FALSE","SD TRUE",5,3,450,0.176,"In FALSE","SD TRUE",5,4,450
"180",0.194,"In FALSE","SD TRUE",5,1,500,0.157,"In FALSE","SD TRUE",5,2,500,0.179,"In FALSE","SD TRUE",5,3,500,0.206,"In FALSE","SD TRUE",5,4,500
"181",0.606,"In TRUE","SD FALSE",5,1,50,0.774,"In TRUE","SD FALSE",5,2,50,0.836,"In TRUE","SD FALSE",5,3,50,0.555,"In TRUE","SD FALSE",5,4,50
"182",0.55,"In TRUE","SD FALSE",5,1,100,0.883,"In TRUE","SD FALSE",5,2,100,0.957,"In TRUE","SD FALSE",5,3,100,0.522,"In TRUE","SD FALSE",5,4,100
"183",0.571,"In TRUE","SD FALSE",5,1,150,0.945,"In TRUE","SD FALSE",5,2,150,0.987,"In TRUE","SD FALSE",5,3,150,0.538,"In TRUE","SD FALSE",5,4,150
"184",0.572,"In TRUE","SD FALSE",5,1,200,0.98,"In TRUE","SD FALSE",5,2,200,0.996,"In TRUE","SD FALSE",5,3,200,0.525,"In TRUE","SD FALSE",5,4,200
"185",0.596,"In TRUE","SD FALSE",5,1,250,0.992,"In TRUE","SD FALSE",5,2,250,0.998,"In TRUE","SD FALSE",5,3,250,0.514,"In TRUE","SD FALSE",5,4,250
"186",0.601,"In TRUE","SD FALSE",5,1,300,0.998,"In TRUE","SD FALSE",5,2,300,1,"In TRUE","SD FALSE",5,3,300,0.543,"In TRUE","SD FALSE",5,4,300
"187",0.572,"In TRUE","SD FALSE",5,1,350,1,"In TRUE","SD FALSE",5,2,350,1,"In TRUE","SD FALSE",5,3,350,0.514,"In TRUE","SD FALSE",5,4,350
"188",0.607,"In TRUE","SD FALSE",5,1,400,0.999,"In TRUE","SD FALSE",5,2,400,1,"In TRUE","SD FALSE",5,3,400,0.565,"In TRUE","SD FALSE",5,4,400
"189",0.575,"In TRUE","SD FALSE",5,1,450,0.999,"In TRUE","SD FALSE",5,2,450,1,"In TRUE","SD FALSE",5,3,450,0.516,"In TRUE","SD FALSE",5,4,450
"190",0.582,"In TRUE","SD FALSE",5,1,500,1,"In TRUE","SD FALSE",5,2,500,1,"In TRUE","SD FALSE",5,3,500,0.531,"In TRUE","SD FALSE",5,4,500
"191",0.131,"In FALSE","SD FALSE",5,1,50,0.091,"In FALSE","SD FALSE",5,2,50,0.121,"In FALSE","SD FALSE",5,3,50,0.102,"In FALSE","SD FALSE",5,4,50
"192",0.114,"In FALSE","SD FALSE",5,1,100,0.097,"In FALSE","SD FALSE",5,2,100,0.1,"In FALSE","SD FALSE",5,3,100,0.126,"In FALSE","SD FALSE",5,4,100
"193",0.13,"In FALSE","SD FALSE",5,1,150,0.113,"In FALSE","SD FALSE",5,2,150,0.111,"In FALSE","SD FALSE",5,3,150,0.098,"In FALSE","SD FALSE",5,4,150
"194",0.111,"In FALSE","SD FALSE",5,1,200,0.094,"In FALSE","SD FALSE",5,2,200,0.133,"In FALSE","SD FALSE",5,3,200,0.094,"In FALSE","SD FALSE",5,4,200
"195",0.104,"In FALSE","SD FALSE",5,1,250,0.095,"In FALSE","SD FALSE",5,2,250,0.123,"In FALSE","SD FALSE",5,3,250,0.109,"In FALSE","SD FALSE",5,4,250
"196",0.123,"In FALSE","SD FALSE",5,1,300,0.08,"In FALSE","SD FALSE",5,2,300,0.11,"In FALSE","SD FALSE",5,3,300,0.112,"In FALSE","SD FALSE",5,4,300
"197",0.104,"In FALSE","SD FALSE",5,1,350,0.101,"In FALSE","SD FALSE",5,2,350,0.119,"In FALSE","SD FALSE",5,3,350,0.091,"In FALSE","SD FALSE",5,4,350
"198",0.111,"In FALSE","SD FALSE",5,1,400,0.114,"In FALSE","SD FALSE",5,2,400,0.132,"In FALSE","SD FALSE",5,3,400,0.1,"In FALSE","SD FALSE",5,4,400
"199",0.141,"In FALSE","SD FALSE",5,1,450,0.084,"In FALSE","SD FALSE",5,2,450,0.124,"In FALSE","SD FALSE",5,3,450,0.092,"In FALSE","SD FALSE",5,4,450
"200",0.124,"In FALSE","SD FALSE",5,1,500,0.103,"In FALSE","SD FALSE",5,2,500,0.104,"In FALSE","SD FALSE",5,3,500,0.104,"In FALSE","SD FALSE",5,4,500
"201",0.873,"In TRUE","SD TRUE",6,1,50,0.937,"In TRUE","SD TRUE",6,2,50,0.977,"In TRUE","SD TRUE",6,3,50,0.851,"In TRUE","SD TRUE",6,4,50
"202",0.882,"In TRUE","SD TRUE",6,1,100,0.978,"In TRUE","SD TRUE",6,2,100,0.997,"In TRUE","SD TRUE",6,3,100,0.863,"In TRUE","SD TRUE",6,4,100
"203",0.898,"In TRUE","SD TRUE",6,1,150,0.994,"In TRUE","SD TRUE",6,2,150,1,"In TRUE","SD TRUE",6,3,150,0.847,"In TRUE","SD TRUE",6,4,150
"204",0.884,"In TRUE","SD TRUE",6,1,200,0.996,"In TRUE","SD TRUE",6,2,200,1,"In TRUE","SD TRUE",6,3,200,0.863,"In TRUE","SD TRUE",6,4,200
"205",0.894,"In TRUE","SD TRUE",6,1,250,1,"In TRUE","SD TRUE",6,2,250,1,"In TRUE","SD TRUE",6,3,250,0.876,"In TRUE","SD TRUE",6,4,250
"206",0.892,"In TRUE","SD TRUE",6,1,300,1,"In TRUE","SD TRUE",6,2,300,1,"In TRUE","SD TRUE",6,3,300,0.892,"In TRUE","SD TRUE",6,4,300
"207",0.914,"In TRUE","SD TRUE",6,1,350,1,"In TRUE","SD TRUE",6,2,350,1,"In TRUE","SD TRUE",6,3,350,0.898,"In TRUE","SD TRUE",6,4,350
"208",0.896,"In TRUE","SD TRUE",6,1,400,1,"In TRUE","SD TRUE",6,2,400,1,"In TRUE","SD TRUE",6,3,400,0.883,"In TRUE","SD TRUE",6,4,400
"209",0.898,"In TRUE","SD TRUE",6,1,450,1,"In TRUE","SD TRUE",6,2,450,1,"In TRUE","SD TRUE",6,3,450,0.89,"In TRUE","SD TRUE",6,4,450
"210",0.904,"In TRUE","SD TRUE",6,1,500,1,"In TRUE","SD TRUE",6,2,500,1,"In TRUE","SD TRUE",6,3,500,0.873,"In TRUE","SD TRUE",6,4,500
"211",0.229,"In FALSE","SD TRUE",6,1,50,0.212,"In FALSE","SD TRUE",6,2,50,0.241,"In FALSE","SD TRUE",6,3,50,0.251,"In FALSE","SD TRUE",6,4,50
"212",0.248,"In FALSE","SD TRUE",6,1,100,0.199,"In FALSE","SD TRUE",6,2,100,0.23,"In FALSE","SD TRUE",6,3,100,0.212,"In FALSE","SD TRUE",6,4,100
"213",0.251,"In FALSE","SD TRUE",6,1,150,0.184,"In FALSE","SD TRUE",6,2,150,0.233,"In FALSE","SD TRUE",6,3,150,0.229,"In FALSE","SD TRUE",6,4,150
"214",0.241,"In FALSE","SD TRUE",6,1,200,0.177,"In FALSE","SD TRUE",6,2,200,0.241,"In FALSE","SD TRUE",6,3,200,0.216,"In FALSE","SD TRUE",6,4,200
"215",0.259,"In FALSE","SD TRUE",6,1,250,0.182,"In FALSE","SD TRUE",6,2,250,0.213,"In FALSE","SD TRUE",6,3,250,0.218,"In FALSE","SD TRUE",6,4,250
"216",0.246,"In FALSE","SD TRUE",6,1,300,0.181,"In FALSE","SD TRUE",6,2,300,0.241,"In FALSE","SD TRUE",6,3,300,0.198,"In FALSE","SD TRUE",6,4,300
"217",0.22,"In FALSE","SD TRUE",6,1,350,0.16,"In FALSE","SD TRUE",6,2,350,0.205,"In FALSE","SD TRUE",6,3,350,0.229,"In FALSE","SD TRUE",6,4,350
"218",0.229,"In FALSE","SD TRUE",6,1,400,0.182,"In FALSE","SD TRUE",6,2,400,0.216,"In FALSE","SD TRUE",6,3,400,0.225,"In FALSE","SD TRUE",6,4,400
"219",0.221,"In FALSE","SD TRUE",6,1,450,0.19,"In FALSE","SD TRUE",6,2,450,0.223,"In FALSE","SD TRUE",6,3,450,0.216,"In FALSE","SD TRUE",6,4,450
"220",0.241,"In FALSE","SD TRUE",6,1,500,0.174,"In FALSE","SD TRUE",6,2,500,0.236,"In FALSE","SD TRUE",6,3,500,0.205,"In FALSE","SD TRUE",6,4,500
"221",0.706,"In TRUE","SD FALSE",6,1,50,0.85,"In TRUE","SD FALSE",6,2,50,0.914,"In TRUE","SD FALSE",6,3,50,0.632,"In TRUE","SD FALSE",6,4,50
"222",0.705,"In TRUE","SD FALSE",6,1,100,0.931,"In TRUE","SD FALSE",6,2,100,0.984,"In TRUE","SD FALSE",6,3,100,0.643,"In TRUE","SD FALSE",6,4,100
"223",0.677,"In TRUE","SD FALSE",6,1,150,0.98,"In TRUE","SD FALSE",6,2,150,0.994,"In TRUE","SD FALSE",6,3,150,0.646,"In TRUE","SD FALSE",6,4,150
"224",0.702,"In TRUE","SD FALSE",6,1,200,0.991,"In TRUE","SD FALSE",6,2,200,1,"In TRUE","SD FALSE",6,3,200,0.61,"In TRUE","SD FALSE",6,4,200
"225",0.706,"In TRUE","SD FALSE",6,1,250,0.995,"In TRUE","SD FALSE",6,2,250,1,"In TRUE","SD FALSE",6,3,250,0.627,"In TRUE","SD FALSE",6,4,250
"226",0.712,"In TRUE","SD FALSE",6,1,300,0.996,"In TRUE","SD FALSE",6,2,300,1,"In TRUE","SD FALSE",6,3,300,0.618,"In TRUE","SD FALSE",6,4,300
"227",0.688,"In TRUE","SD FALSE",6,1,350,0.999,"In TRUE","SD FALSE",6,2,350,1,"In TRUE","SD FALSE",6,3,350,0.661,"In TRUE","SD FALSE",6,4,350
"228",0.705,"In TRUE","SD FALSE",6,1,400,1,"In TRUE","SD FALSE",6,2,400,1,"In TRUE","SD FALSE",6,3,400,0.617,"In TRUE","SD FALSE",6,4,400
"229",0.693,"In TRUE","SD FALSE",6,1,450,1,"In TRUE","SD FALSE",6,2,450,1,"In TRUE","SD FALSE",6,3,450,0.617,"In TRUE","SD FALSE",6,4,450
"230",0.688,"In TRUE","SD FALSE",6,1,500,1,"In TRUE","SD FALSE",6,2,500,1,"In TRUE","SD FALSE",6,3,500,0.625,"In TRUE","SD FALSE",6,4,500
"231",0.125,"In FALSE","SD FALSE",6,1,50,0.126,"In FALSE","SD FALSE",6,2,50,0.155,"In FALSE","SD FALSE",6,3,50,0.122,"In FALSE","SD FALSE",6,4,50
"232",0.126,"In FALSE","SD FALSE",6,1,100,0.111,"In FALSE","SD FALSE",6,2,100,0.131,"In FALSE","SD FALSE",6,3,100,0.103,"In FALSE","SD FALSE",6,4,100
"233",0.128,"In FALSE","SD FALSE",6,1,150,0.111,"In FALSE","SD FALSE",6,2,150,0.131,"In FALSE","SD FALSE",6,3,150,0.128,"In FALSE","SD FALSE",6,4,150
"234",0.153,"In FALSE","SD FALSE",6,1,200,0.108,"In FALSE","SD FALSE",6,2,200,0.152,"In FALSE","SD FALSE",6,3,200,0.131,"In FALSE","SD FALSE",6,4,200
"235",0.163,"In FALSE","SD FALSE",6,1,250,0.124,"In FALSE","SD FALSE",6,2,250,0.143,"In FALSE","SD FALSE",6,3,250,0.118,"In FALSE","SD FALSE",6,4,250
"236",0.139,"In FALSE","SD FALSE",6,1,300,0.109,"In FALSE","SD FALSE",6,2,300,0.146,"In FALSE","SD FALSE",6,3,300,0.115,"In FALSE","SD FALSE",6,4,300
"237",0.13,"In FALSE","SD FALSE",6,1,350,0.116,"In FALSE","SD FALSE",6,2,350,0.125,"In FALSE","SD FALSE",6,3,350,0.104,"In FALSE","SD FALSE",6,4,350
"238",0.129,"In FALSE","SD FALSE",6,1,400,0.115,"In FALSE","SD FALSE",6,2,400,0.156,"In FALSE","SD FALSE",6,3,400,0.112,"In FALSE","SD FALSE",6,4,400
"239",0.14,"In FALSE","SD FALSE",6,1,450,0.105,"In FALSE","SD FALSE",6,2,450,0.139,"In FALSE","SD FALSE",6,3,450,0.1,"In FALSE","SD FALSE",6,4,450
"240",0.135,"In FALSE","SD FALSE",6,1,500,0.113,"In FALSE","SD FALSE",6,2,500,0.139,"In FALSE","SD FALSE",6,3,500,0.11,"In FALSE","SD FALSE",6,4,500
"241",0.938,"In TRUE","SD TRUE",7,1,50,0.963,"In TRUE","SD TRUE",7,2,50,0.991,"In TRUE","SD TRUE",7,3,50,0.921,"In TRUE","SD TRUE",7,4,50
"242",0.946,"In TRUE","SD TRUE",7,1,100,0.99,"In TRUE","SD TRUE",7,2,100,0.999,"In TRUE","SD TRUE",7,3,100,0.898,"In TRUE","SD TRUE",7,4,100
"243",0.945,"In TRUE","SD TRUE",7,1,150,0.998,"In TRUE","SD TRUE",7,2,150,1,"In TRUE","SD TRUE",7,3,150,0.924,"In TRUE","SD TRUE",7,4,150
"244",0.941,"In TRUE","SD TRUE",7,1,200,0.999,"In TRUE","SD TRUE",7,2,200,1,"In TRUE","SD TRUE",7,3,200,0.909,"In TRUE","SD TRUE",7,4,200
"245",0.954,"In TRUE","SD TRUE",7,1,250,1,"In TRUE","SD TRUE",7,2,250,1,"In TRUE","SD TRUE",7,3,250,0.91,"In TRUE","SD TRUE",7,4,250
"246",0.95,"In TRUE","SD TRUE",7,1,300,1,"In TRUE","SD TRUE",7,2,300,1,"In TRUE","SD TRUE",7,3,300,0.931,"In TRUE","SD TRUE",7,4,300
"247",0.96,"In TRUE","SD TRUE",7,1,350,1,"In TRUE","SD TRUE",7,2,350,1,"In TRUE","SD TRUE",7,3,350,0.932,"In TRUE","SD TRUE",7,4,350
"248",0.953,"In TRUE","SD TRUE",7,1,400,1,"In TRUE","SD TRUE",7,2,400,1,"In TRUE","SD TRUE",7,3,400,0.934,"In TRUE","SD TRUE",7,4,400
"249",0.961,"In TRUE","SD TRUE",7,1,450,1,"In TRUE","SD TRUE",7,2,450,1,"In TRUE","SD TRUE",7,3,450,0.94,"In TRUE","SD TRUE",7,4,450
"250",0.957,"In TRUE","SD TRUE",7,1,500,1,"In TRUE","SD TRUE",7,2,500,1,"In TRUE","SD TRUE",7,3,500,0.938,"In TRUE","SD TRUE",7,4,500
"251",0.288,"In FALSE","SD TRUE",7,1,50,0.227,"In FALSE","SD TRUE",7,2,50,0.284,"In FALSE","SD TRUE",7,3,50,0.247,"In FALSE","SD TRUE",7,4,50
"252",0.283,"In FALSE","SD TRUE",7,1,100,0.225,"In FALSE","SD TRUE",7,2,100,0.272,"In FALSE","SD TRUE",7,3,100,0.238,"In FALSE","SD TRUE",7,4,100
"253",0.263,"In FALSE","SD TRUE",7,1,150,0.197,"In FALSE","SD TRUE",7,2,150,0.264,"In FALSE","SD TRUE",7,3,150,0.241,"In FALSE","SD TRUE",7,4,150
"254",0.281,"In FALSE","SD TRUE",7,1,200,0.205,"In FALSE","SD TRUE",7,2,200,0.264,"In FALSE","SD TRUE",7,3,200,0.242,"In FALSE","SD TRUE",7,4,200
"255",0.262,"In FALSE","SD TRUE",7,1,250,0.218,"In FALSE","SD TRUE",7,2,250,0.243,"In FALSE","SD TRUE",7,3,250,0.213,"In FALSE","SD TRUE",7,4,250
"256",0.268,"In FALSE","SD TRUE",7,1,300,0.223,"In FALSE","SD TRUE",7,2,300,0.259,"In FALSE","SD TRUE",7,3,300,0.256,"In FALSE","SD TRUE",7,4,300
"257",0.315,"In FALSE","SD TRUE",7,1,350,0.212,"In FALSE","SD TRUE",7,2,350,0.255,"In FALSE","SD TRUE",7,3,350,0.23,"In FALSE","SD TRUE",7,4,350
"258",0.283,"In FALSE","SD TRUE",7,1,400,0.201,"In FALSE","SD TRUE",7,2,400,0.265,"In FALSE","SD TRUE",7,3,400,0.258,"In FALSE","SD TRUE",7,4,400
"259",0.294,"In FALSE","SD TRUE",7,1,450,0.21,"In FALSE","SD TRUE",7,2,450,0.257,"In FALSE","SD TRUE",7,3,450,0.279,"In FALSE","SD TRUE",7,4,450
"260",0.281,"In FALSE","SD TRUE",7,1,500,0.246,"In FALSE","SD TRUE",7,2,500,0.239,"In FALSE","SD TRUE",7,3,500,0.22,"In FALSE","SD TRUE",7,4,500
"261",0.796,"In TRUE","SD FALSE",7,1,50,0.92,"In TRUE","SD FALSE",7,2,50,0.957,"In TRUE","SD FALSE",7,3,50,0.729,"In TRUE","SD FALSE",7,4,50
"262",0.794,"In TRUE","SD FALSE",7,1,100,0.959,"In TRUE","SD FALSE",7,2,100,0.993,"In TRUE","SD FALSE",7,3,100,0.716,"In TRUE","SD FALSE",7,4,100
